Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id,Gls/90,Ast/90,TklW/90,Int/90,TklWInt/90,primary_pos,secondary_pos
Nathan Aké,nl NED,DF,Manchester City,30,1995,18,6,695,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,eaeca114,7.7,0,7,1,14.3,0.9090909090909091,0.13,0.0,0.0,0,0,eaeca114,7.7,,,,,,,,,,,,,,,0,,,,,,eaeca114,7.7,,,,,,,,,,,,,,,,,,,,,eaeca114,7.7,,6,,,,,,,,,,,5,,,,eaeca114,Nathan Aké__Manchester City,0.0,0.0,0.7792207792207793,0.6493506493506493,1.4285714285714286,DF,
Carlos Alcaraz,ar ARG,MF,Everton,22,2002,20,6,689,7.7,0,1,1,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,4abac767,7.7,0,20,5,25.0,2.5974025974025974,0.65,0.0,0.0,0,0,4abac767,7.7,,,,,,,,,,,,,,,1,,,,,,4abac767,7.7,,,,,,,,,,,,,,,,,,,,,4abac767,7.7,,9,,,,,,,,,,,2,,,,4abac767,Carlos Alcaraz__Everton,0.0,0.12987012987012986,1.1688311688311688,0.2597402597402597,1.4285714285714286,MF,
Omar Alderete,py PAR,DF,Sunderland,28,1996,33,32,2798,31.1,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,bb08bce9,31.1,1,24,9,37.5,0.7717041800643086,0.29,0.04,0.11,0,0,bb08bce9,31.1,,,,,,,,,,,,,,,1,,,,,,bb08bce9,31.1,,,,,,,,,,,,,,,,,,,,,bb08bce9,31.1,,18,,,,,,,,,,,36,,,,bb08bce9,Omar Alderete__Sunderland,0.03215434083601286,0.03215434083601286,0.5787781350482315,1.157556270096463,1.7363344051446945,DF,
Ethan Ampadu,wls WAL,MF,Leeds United,24,2000,35,35,3119,34.7,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,10b9fa99,34.7,1,26,6,23.1,0.7492795389048991,0.17,0.04,0.17,0,0,10b9fa99,34.7,,,,,,,,,,,,,,,1,,,,,,10b9fa99,34.7,,,,,,,,,,,,,,,,,,,,,10b9fa99,34.7,,46,,,,,,,,,,,50,,,,10b9fa99,Ethan Ampadu__Leeds United,0.02881844380403458,0.02881844380403458,1.3256484149855907,1.440922190201729,2.7665706051873196,MF,
Joachim Andersen,dk DEN,DF,Fulham,29,1996,33,33,2875,31.9,0,1,1,0,0,0,7,1,0.0,0.03,0.03,0.0,0.03,e34fc66d,31.9,0,16,4,25.0,0.5015673981191223,0.13,0.0,0.0,0,0,e34fc66d,31.9,,,,,,,,,,,,,,,1,,,,,,e34fc66d,31.9,,,,,,,,,,,,,,,,,,,,,e34fc66d,31.9,,26,,,,,,,,,,,34,,,,e34fc66d,Joachim Andersen__Fulham,0.0,0.031347962382445145,0.8150470219435737,1.0658307210031348,1.8808777429467085,DF,
Elliot Anderson,eng ENG,MF,Nottingham,22,2002,38,37,3331,37.0,4,4,8,3,1,1,8,0,0.11,0.11,0.22,0.08,0.19,de31038e,37.0,4,44,10,22.7,1.1891891891891893,0.27,0.09,0.4,1,1,de31038e,37.0,,,,,,,,,,,,,,,4,,,,,,de31038e,37.0,,,,,,,,,,,,,,,,,,,,,de31038e,37.0,,60,,,,,,,,,,,41,,,,de31038e,Elliot Anderson__Nottingham,0.10810810810810811,0.10810810810810811,1.6216216216216217,1.1081081081081081,2.72972972972973,MF,
André,br BRA,MF,Wolves,24,2001,35,30,2762,30.7,1,0,1,1,0,0,12,0,0.03,0.0,0.03,0.03,0.03,ec604e2c,30.7,1,15,1,6.7,0.48859934853420195,0.03,0.07,1.0,0,0,ec604e2c,30.7,,,,,,,,,,,,,,,0,,,,,,ec604e2c,30.7,,,,,,,,,,,,,,,,,,,,,ec604e2c,30.7,,42,,,,,,,,,,,25,,,,ec604e2c,André__Wolves,0.03257328990228013,0.0,1.3680781758957654,0.8143322475570033,2.182410423452769,MF,
Jaidon Anthony,eng ENG,MF,Burnley,25,1999,37,32,2722,30.2,8,2,10,8,0,0,4,0,0.26,0.07,0.33,0.26,0.33,e4238fb1,30.2,8,55,23,41.8,1.8211920529801324,0.76,0.15,0.35,0,0,e4238fb1,30.2,,,,,,,,,,,,,,,2,,,,,,e4238fb1,30.2,,,,,,,,,,,,,,,,,,,,,e4238fb1,30.2,,21,,,,,,,,,,,16,,,,e4238fb1,Jaidon Anthony__Burnley,0.26490066225165565,0.06622516556291391,0.695364238410596,0.5298013245033113,1.2251655629139073,MF,
Jhon Arias,co COL,FWMF,Wolves,27,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,86d96066,12.5,1,16,3,18.8,1.28,0.24,0.06,0.33,0,0,86d96066,12.5,,,,,,,,,,,,,,,0,,,,,,86d96066,12.5,,,,,,,,,,,,,,,,,,,,,86d96066,12.5,,27,,,,,,,,,,,7,,,,86d96066,Jhon Arias__Wolves,0.08,0.0,2.16,0.56,2.72,FW,MF
Adam Armstrong,eng ENG,FWMF,Wolves,28,1997,14,14,1140,12.7,2,2,4,1,1,1,3,0,0.16,0.16,0.32,0.08,0.24,68c720b5,12.7,2,18,6,33.3,1.4173228346456694,0.47,0.11,0.33,1,1,68c720b5,12.7,,,,,,,,,,,,,,,2,,,,,,68c720b5,12.7,,,,,,,,,,,,,,,,,,,,,68c720b5,12.7,,4,,,,,,,,,,,1,,,,68c720b5,Adam Armstrong__Wolves,0.15748031496062992,0.15748031496062992,0.31496062992125984,0.07874015748031496,0.3937007874015748,FW,MF
Tolu Arokodare,ng NGA,FW,Wolves,24,2000,33,13,1419,15.8,3,1,4,3,0,1,1,0,0.19,0.06,0.25,0.19,0.25,a42760bc,15.8,3,46,16,34.8,2.911392405063291,1.01,0.07,0.19,0,1,a42760bc,15.8,,,,,,,,,,,,,,,1,,,,,,a42760bc,15.8,,,,,,,,,,,,,,,,,,,,,a42760bc,15.8,,4,,,,,,,,,,,5,,,,a42760bc,Tolu Arokodare__Wolves,0.18987341772151897,0.06329113924050632,0.2531645569620253,0.3164556962025316,0.5696202531645569,FW,
Yasin Ayari,se SWE,MF,Brighton,21,2003,29,20,1929,21.4,3,3,6,3,0,0,1,0,0.14,0.14,0.28,0.14,0.28,f173303a,21.4,3,41,10,24.4,1.9158878504672898,0.47,0.07,0.3,0,0,f173303a,21.4,,,,,,,,,,,,,,,3,,,,,,f173303a,21.4,,,,,,,,,,,,,,,,,,,,,f173303a,21.4,,25,,,,,,,,,,,26,,,,f173303a,Yasin Ayari__Brighton,0.14018691588785048,0.14018691588785048,1.1682242990654206,1.2149532710280375,2.383177570093458,MF,
Carlos Baleba,cm CMR,MF,Brighton,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,a1390d2f,18.4,0,20,2,10.0,1.0869565217391306,0.11,0.0,0.0,0,0,a1390d2f,18.4,,,,,,,,,,,,,,,0,,,,,,a1390d2f,18.4,,,,,,,,,,,,,,,,,,,,,a1390d2f,18.4,,21,,,,,,,,,,,28,,,,a1390d2f,Carlos Baleba__Brighton,0.0,0.0,1.1413043478260871,1.5217391304347827,2.6630434782608696,MF,
Daniel Ballard,nir NIR,DF,Sunderland,25,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.08,0.0,0.08,0.08,0.08,38f300f3,23.9,2,26,9,34.6,1.087866108786611,0.38,0.08,0.22,0,0,38f300f3,23.9,,,,,,,,,,,,,,,0,,,,,,38f300f3,23.9,,,,,,,,,,,,,,,,,,,,,38f300f3,23.9,,17,,,,,,,,,,,20,,,,38f300f3,Daniel Ballard__Sunderland,0.08368200836820085,0.0,0.7112970711297072,0.8368200836820084,1.5481171548117156,DF,
Ross Barkley,eng ENG,MF,Aston Villa,31,1993,21,7,857,9.5,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42,3a24769f,9.5,3,18,8,44.4,1.894736842105263,0.84,0.17,0.38,0,0,3a24769f,9.5,,,,,,,,,,,,,,,1,,,,,,3a24769f,9.5,,,,,,,,,,,,,,,,,,,,,3a24769f,9.5,,11,,,,,,,,,,,2,,,,3a24769f,Ross Barkley__Aston Villa,0.3157894736842105,0.10526315789473684,1.1578947368421053,0.21052631578947367,1.368421052631579,MF,
Harvey Barnes,eng ENG,FWMF,Newcastle,27,1997,37,19,1966,21.8,7,1,8,7,0,0,1,0,0.32,0.05,0.37,0.32,0.37,3ea50f67,21.8,7,58,21,36.2,2.6605504587155964,0.96,0.12,0.33,0,0,3ea50f67,21.8,,,,,,,,,,,,,,,1,,,,,,3ea50f67,21.8,,,,,,,,,,,,,,,,,,,,,3ea50f67,21.8,,5,,,,,,,,,,,3,,,,3ea50f67,Harvey Barnes__Newcastle,0.3211009174311926,0.04587155963302752,0.2293577981651376,0.13761467889908258,0.36697247706422015,FW,MF
Thierno Barry,fr FRA,FW,Everton,22,2002,38,21,1914,21.3,8,0,8,8,0,0,3,0,0.38,0.0,0.38,0.38,0.38,52c3244b,21.3,8,38,14,36.8,1.784037558685446,0.66,0.21,0.57,0,0,52c3244b,21.3,,,,,,,,,,,,,,,0,,,,,,52c3244b,21.3,,,,,,,,,,,,,,,,,,,,,52c3244b,21.3,,4,,,,,,,,,,,5,,,,52c3244b,Thierno Barry__Everton,0.3755868544600939,0.0,0.18779342723004694,0.2347417840375587,0.4225352112676056,FW,
Calvin Bassey,ng NGA,DF,Fulham,25,1999,30,28,2534,28.2,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,a36524bf,28.2,1,12,1,8.3,0.425531914893617,0.04,0.08,1.0,0,0,a36524bf,28.2,,,,,,,,,,,,,,,0,,,,,,a36524bf,28.2,,,,,,,,,,,,,,,,,,,,,a36524bf,28.2,,32,,,,,,,,,,,22,,,,a36524bf,Calvin Bassey__Fulham,0.03546099290780142,0.0,1.1347517730496455,0.7801418439716312,1.9148936170212767,DF,
Jean-Ricner Bellegarde,ht HAI,MFFW,Wolves,27,1998,26,15,1248,13.9,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,10f0fdd3,13.9,1,21,7,33.3,1.5107913669064748,0.5,0.05,0.14,0,0,10f0fdd3,13.9,,,,,,,,,,,,,,,1,,,,,,10f0fdd3,13.9,,,,,,,,,,,,,,,,,,,,,10f0fdd3,13.9,,15,,,,,,,,,,,9,,,,10f0fdd3,Jean-Ricner Bellegarde__Wolves,0.07194244604316546,0.07194244604316546,1.079136690647482,0.6474820143884892,1.7266187050359711,MF,FW
Rodrigo Bentancur,uy URU,MF,Tottenham,28,1997,26,23,1883,20.9,1,1,2,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1,3b8674e6,20.9,1,13,3,23.1,0.6220095693779905,0.14,0.08,0.33,0,0,3b8674e6,20.9,,,,,,,,,,,,,,,1,,,,,,3b8674e6,20.9,,,,,,,,,,,,,,,,,,,,,3b8674e6,20.9,,36,,,,,,,,,,,36,,,,3b8674e6,Rodrigo Bentancur__Tottenham,0.04784688995215311,0.04784688995215311,1.722488038277512,1.722488038277512,3.444976076555024,MF,
Sander Berge,no NOR,MF,Fulham,27,1998,35,34,2905,32.3,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,d0b6129f,32.3,0,14,3,21.4,0.43343653250774,0.09,0.0,0.0,0,0,d0b6129f,32.3,,,,,,,,,,,,,,,1,,,,,,d0b6129f,32.3,,,,,,,,,,,,,,,,,,,,,d0b6129f,32.3,,41,,,,,,,,,,,26,,,,d0b6129f,Sander Berge__Fulham,0.0,0.030959752321981428,1.2693498452012384,0.8049535603715171,2.0743034055727554,MF,
Lucas Bergvall,se SWE,MF,Tottenham,19,2006,23,11,965,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37,a109e5c8,10.7,1,12,5,41.7,1.1214953271028039,0.47,0.08,0.2,0,0,a109e5c8,10.7,,,,,,,,,,,,,,,3,,,,,,a109e5c8,10.7,,,,,,,,,,,,,,,,,,,,,a109e5c8,10.7,,14,,,,,,,,,,,3,,,,a109e5c8,Lucas Bergvall__Tottenham,0.09345794392523366,0.28037383177570097,1.3084112149532712,0.28037383177570097,1.5887850467289721,MF,
Beto,gw GNB,FW,Everton,27,1998,37,17,1568,17.4,9,1,10,9,0,0,3,0,0.52,0.06,0.57,0.52,0.57,ed5c0319,17.4,9,43,17,39.5,2.4712643678160924,0.98,0.21,0.53,0,0,ed5c0319,17.4,,,,,,,,,,,,,,,1,,,,,,ed5c0319,17.4,,,,,,,,,,,,,,,,,,,,,ed5c0319,17.4,,5,,,,,,,,,,,1,,,,ed5c0319,Beto__Everton,0.5172413793103449,0.0574712643678161,0.2873563218390805,0.0574712643678161,0.3448275862068966,FW,
Jaka Bijol,si SVN,DF,Leeds United,26,1999,25,21,1890,21.0,1,2,3,1,0,0,4,0,0.05,0.1,0.14,0.05,0.14,6fdac234,21.0,1,15,6,40.0,0.7142857142857143,0.29,0.07,0.17,0,0,6fdac234,21.0,,,,,,,,,,,,,,,2,,,,,,6fdac234,21.0,,,,,,,,,,,,,,,,,,,,,6fdac234,21.0,,13,,,,,,,,,,,22,,,,6fdac234,Jaka Bijol__Leeds United,0.047619047619047616,0.09523809523809523,0.6190476190476191,1.0476190476190477,1.6666666666666667,DF,
Yves Bissouma,ml MLI,MF,Tottenham,28,1996,11,7,603,6.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,6c203af0,6.7,0,5,2,40.0,0.7462686567164178,0.3,0.0,0.0,0,0,6c203af0,6.7,,,,,,,,,,,,,,,0,,,,,,6c203af0,6.7,,,,,,,,,,,,,,,,,,,,,6c203af0,6.7,,11,,,,,,,,,,,8,,,,6c203af0,Yves Bissouma__Tottenham,0.0,0.0,1.6417910447761193,1.1940298507462686,2.835820895522388,MF,
Lamare Bogarde,nl NED,MFDF,Aston Villa,21,2004,28,11,1053,11.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,bca5c4a7,11.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,bca5c4a7,11.7,,,,,,,,,,,,,,,0,,,,,,bca5c4a7,11.7,,,,,,,,,,,,,,,,,,,,,bca5c4a7,11.7,,19,,,,,,,,,,,4,,,,bca5c4a7,Lamare Bogarde__Aston Villa,0.0,0.0,1.623931623931624,0.3418803418803419,1.965811965811966,MF,DF
Jayden Bogle,eng ENG,MFDF,Leeds United,25,2000,34,32,2793,31.0,1,2,3,1,0,0,6,0,0.03,0.06,0.1,0.03,0.1,ae5019e6,31.0,1,18,4,22.2,0.5806451612903226,0.13,0.06,0.25,0,0,ae5019e6,31.0,,,,,,,,,,,,,,,2,,,,,,ae5019e6,31.0,,,,,,,,,,,,,,,,,,,,,ae5019e6,31.0,,43,,,,,,,,,,,30,,,,ae5019e6,Jayden Bogle__Leeds United,0.03225806451612903,0.06451612903225806,1.3870967741935485,0.967741935483871,2.3548387096774195,MF,DF
Olivier Boscagli,fr FRA,DF,Brighton,27,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,403f5d20,8.9,0,1,0,0.0,0.11235955056179775,0.0,0.0,0.0,0,0,403f5d20,8.9,,,,,,,,,,,,,,,1,,,,,,403f5d20,8.9,,,,,,,,,,,,,,,,,,,,,403f5d20,8.9,,11,,,,,,,,,,,16,,,,403f5d20,Olivier Boscagli__Brighton,0.0,0.11235955056179775,1.2359550561797752,1.797752808988764,3.033707865168539,DF,
Sven Botman,nl NED,DF,Newcastle,25,2000,25,21,1835,20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,ccce7025,20.4,1,15,4,26.7,0.7352941176470589,0.2,0.07,0.25,0,0,ccce7025,20.4,,,,,,,,,,,,,,,1,,,,,,ccce7025,20.4,,,,,,,,,,,,,,,,,,,,,ccce7025,20.4,,14,,,,,,,,,,,25,,,,ccce7025,Sven Botman__Newcastle,0.04901960784313726,0.04901960784313726,0.6862745098039216,1.2254901960784315,1.911764705882353,DF,
Jarrod Bowen,eng ENG,MFFW,West Ham,28,1996,38,38,3403,37.8,9,11,20,8,1,1,4,0,0.24,0.29,0.53,0.21,0.5,79c84d1c,37.8,9,79,28,35.4,2.08994708994709,0.74,0.11,0.32,1,1,79c84d1c,37.8,,,,,,,,,,,,,,,11,,,,,,79c84d1c,37.8,,,,,,,,,,,,,,,,,,,,,79c84d1c,37.8,,28,,,,,,,,,,,27,,,,79c84d1c,Jarrod Bowen__West Ham,0.2380952380952381,0.29100529100529104,0.7407407407407408,0.7142857142857143,1.4550264550264551,MF,FW
Conor Bradley,nir NIR,DF,Liverpool,22,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,bbd67769,10.3,0,6,0,0.0,0.5825242718446602,0.0,0.0,0.0,0,0,bbd67769,10.3,,,,,,,,,,,,,,,1,,,,,,bbd67769,10.3,,,,,,,,,,,,,,,,,,,,,bbd67769,10.3,,15,,,,,,,,,,,12,,,,bbd67769,Conor Bradley__Liverpool,0.0,0.0970873786407767,1.4563106796116503,1.1650485436893203,2.6213592233009706,DF,
Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,c1949191,7.6,1,6,2,33.3,0.7894736842105263,0.26,0.17,0.5,0,0,c1949191,7.6,,,,,,,,,,,,,,,0,,,,,,c1949191,7.6,,,,,,,,,,,,,,,,,,,,,c1949191,7.6,,6,,,,,,,,,,,11,,,,c1949191,Jarrad Branthwaite__Everton,0.13157894736842105,0.0,0.7894736842105263,1.4473684210526316,2.236842105263158,DF,
Brian Brobbey,nl NED,FW,Sunderland,23,2002,31,22,1927,21.4,7,1,8,7,0,0,6,0,0.33,0.05,0.37,0.33,0.37,4c184730,21.4,7,36,18,50.0,1.6822429906542058,0.84,0.19,0.39,0,0,4c184730,21.4,,,,,,,,,,,,,,,1,,,,,,4c184730,21.4,,,,,,,,,,,,,,,,,,,,,4c184730,21.4,,2,,,,,,,,,,,0,,,,4c184730,Brian Brobbey__Sunderland,0.3271028037383178,0.04672897196261683,0.09345794392523366,0.0,0.09345794392523366,FW,
Armando Broja,al ALB,FW,Burnley,23,2001,24,8,860,9.6,1,1,2,1,0,0,0,0,0.1,0.1,0.21,0.1,0.21,97220da2,9.6,1,16,6,37.5,1.6666666666666667,0.63,0.06,0.17,0,0,97220da2,9.6,,,,,,,,,,,,,,,1,,,,,,97220da2,9.6,,,,,,,,,,,,,,,,,,,,,97220da2,9.6,,3,,,,,,,,,,,3,,,,97220da2,Armando Broja__Burnley,0.10416666666666667,0.10416666666666667,0.3125,0.3125,0.625,FW,
David Brooks,wls WAL,MF,Bournemouth,28,1997,31,13,1204,13.4,1,3,4,1,0,0,7,0,0.07,0.22,0.3,0.07,0.3,dc4cae05,13.4,1,48,13,27.1,3.582089552238806,0.97,0.02,0.08,0,0,dc4cae05,13.4,,,,,,,,,,,,,,,3,,,,,,dc4cae05,13.4,,,,,,,,,,,,,,,,,,,,,dc4cae05,13.4,,13,,,,,,,,,,,4,,,,dc4cae05,David Brooks__Bournemouth,0.07462686567164178,0.22388059701492538,0.9701492537313433,0.29850746268656714,1.2686567164179103,MF,
