stint_id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,Gls/90,Ast/90,TklW/90,Int/90,TklWInt/90,primary_pos,secondary_pos,cluster,pca_x,pca_y
Nathan Aké__Manchester City,Nathan Aké,nl NED,DF,Manchester City,30,1995,18,6,695,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,eaeca114,7.7,0,7,1,14.3,0.9090909090909092,0.13,0.0,0.0,0,0,eaeca114,7.7,,,,,,,,,,,,,,,0,,,,,,eaeca114,7.7,,,,,,,,,,,,,,,,,,,,,eaeca114,7.7,,6,,,,,,,,,,,5,,,,eaeca114,0.0,0.0,0.7792207792207793,0.6493506493506493,1.4285714285714286,DF,,0,-1.2125131642925344,-1.7265628542836293
Carlos Alcaraz__Everton,Carlos Alcaraz,ar ARG,MF,Everton,22,2002,20,6,689,7.7,0,1,1,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,4abac767,7.7,0,20,5,25.0,2.5974025974025974,0.65,0.0,0.0,0,0,4abac767,7.7,,,,,,,,,,,,,,,1,,,,,,4abac767,7.7,,,,,,,,,,,,,,,,,,,,,4abac767,7.7,,9,,,,,,,,,,,2,,,,4abac767,0.0,0.1298701298701298,1.1688311688311688,0.2597402597402597,1.4285714285714286,MF,,1,-0.014210191211740728,-2.0411799136863866
Omar Alderete__Sunderland,Omar Alderete,py PAR,DF,Sunderland,28,1996,33,32,2798,31.1,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,bb08bce9,31.1,1,24,9,37.5,0.7717041800643086,0.29,0.04,0.11,0,0,bb08bce9,31.1,,,,,,,,,,,,,,,1,,,,,,bb08bce9,31.1,,,,,,,,,,,,,,,,,,,,,bb08bce9,31.1,,18,,,,,,,,,,,36,,,,bb08bce9,0.0321543408360128,0.0321543408360128,0.5787781350482315,1.157556270096463,1.7363344051446945,DF,,0,-0.8320460949624218,-0.4866511229819013
Ethan Ampadu__Leeds United,Ethan Ampadu,wls WAL,MF,Leeds United,24,2000,35,35,3119,34.7,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,10b9fa99,34.7,1,26,6,23.1,0.7492795389048991,0.17,0.04,0.17,0,0,10b9fa99,34.7,,,,,,,,,,,,,,,1,,,,,,10b9fa99,34.7,,,,,,,,,,,,,,,,,,,,,10b9fa99,34.7,,46,,,,,,,,,,,50,,,,10b9fa99,0.0288184438040345,0.0288184438040345,1.3256484149855907,1.440922190201729,2.76657060518732,MF,,0,-2.304659284772232,0.5493755342166516
Joachim Andersen__Fulham,Joachim Andersen,dk DEN,DF,Fulham,29,1996,33,33,2875,31.9,0,1,1,0,0,0,7,1,0.0,0.03,0.03,0.0,0.03,e34fc66d,31.9,0,16,4,25.0,0.5015673981191223,0.13,0.0,0.0,0,0,e34fc66d,31.9,,,,,,,,,,,,,,,1,,,,,,e34fc66d,31.9,,,,,,,,,,,,,,,,,,,,,e34fc66d,31.9,,26,,,,,,,,,,,34,,,,e34fc66d,0.0,0.0313479623824451,0.8150470219435737,1.0658307210031348,1.8808777429467085,DF,,0,-1.7301387538557715,-1.0336947669969665
Elliot Anderson__Nottingham,Elliot Anderson,eng ENG,MF,Nottingham,22,2002,38,37,3331,37.0,4,4,8,3,1,1,8,0,0.11,0.11,0.22,0.08,0.19,de31038e,37.0,4,44,10,22.7,1.1891891891891893,0.27,0.09,0.4,1,1,de31038e,37.0,,,,,,,,,,,,,,,4,,,,,,de31038e,37.0,,,,,,,,,,,,,,,,,,,,,de31038e,37.0,,60,,,,,,,,,,,41,,,,de31038e,0.1081081081081081,0.1081081081081081,1.6216216216216215,1.108108108108108,2.72972972972973,MF,,3,-1.2320489001083494,1.182623214721907
André__Wolves,André,br BRA,MF,Wolves,24,2001,35,30,2762,30.7,1,0,1,1,0,0,12,0,0.03,0.0,0.03,0.03,0.03,ec604e2c,30.7,1,15,1,6.7,0.4885993485342019,0.03,0.07,1.0,0,0,ec604e2c,30.7,,,,,,,,,,,,,,,0,,,,,,ec604e2c,30.7,,,,,,,,,,,,,,,,,,,,,ec604e2c,30.7,,42,,,,,,,,,,,25,,,,ec604e2c,0.0325732899022801,0.0,1.3680781758957654,0.8143322475570033,2.182410423452769,MF,,3,-0.937474230674253,1.7230328140675197
Jaidon Anthony__Burnley,Jaidon Anthony,eng ENG,MF,Burnley,25,1999,37,32,2722,30.2,8,2,10,8,0,0,4,0,0.26,0.07,0.33,0.26,0.33,e4238fb1,30.2,8,55,23,41.8,1.8211920529801324,0.76,0.15,0.35,0,0,e4238fb1,30.2,,,,,,,,,,,,,,,2,,,,,,e4238fb1,30.2,,,,,,,,,,,,,,,,,,,,,e4238fb1,30.2,,21,,,,,,,,,,,16,,,,e4238fb1,0.2649006622516556,0.0662251655629139,0.695364238410596,0.5298013245033113,1.225165562913907,MF,,1,1.829525791292596,0.2655463231269123
Jhon Arias__Wolves,Jhon Arias,co COL,FWMF,Wolves,27,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,86d96066,12.5,1,16,3,18.8,1.28,0.24,0.06,0.33,0,0,86d96066,12.5,,,,,,,,,,,,,,,0,,,,,,86d96066,12.5,,,,,,,,,,,,,,,,,,,,,86d96066,12.5,,27,,,,,,,,,,,7,,,,86d96066,0.08,0.0,2.16,0.56,2.72,FW,MF,0,-1.5711262767006613,0.9514439371965282
Adam Armstrong__Wolves,Adam Armstrong,eng ENG,FWMF,Wolves,28,1997,14,14,1140,12.7,2,2,4,1,1,1,3,0,0.16,0.16,0.32,0.08,0.24,68c720b5,12.7,2,18,6,33.3,1.4173228346456694,0.47,0.11,0.33,1,1,68c720b5,12.7,,,,,,,,,,,,,,,2,,,,,,68c720b5,12.7,,,,,,,,,,,,,,,,,,,,,68c720b5,12.7,,4,,,,,,,,,,,1,,,,68c720b5,0.1574803149606299,0.1574803149606299,0.3149606299212598,0.0787401574803149,0.3937007874015748,FW,MF,1,2.1347941195330398,-1.3572234864886679
