stint_id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,Gls/90,Ast/90,TklW/90,Int/90,TklWInt/90,primary_pos,secondary_pos,cluster,pca_x,pca_y
Sander Berge__Fulham,Sander Berge,no NOR,MF,Fulham,27,1998,35,34,2905,32.3,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,d0b6129f,32.3,0,14,3,21.4,0.43343653250774,0.09,0.0,0.0,0,0,d0b6129f,32.3,,,,,,,,,,,,,,,1,,,,,,d0b6129f,32.3,,,,,,,,,,,,,,,,,,,,,d0b6129f,32.3,,41,,,,,,,,,,,26,,,,d0b6129f,0.0,0.0309597523219814,1.2693498452012384,0.8049535603715171,2.0743034055727554,MF,,0,-2.0060862431608046,-0.8636026602264384
Lucas Bergvall__Tottenham,Lucas Bergvall,se SWE,MF,Tottenham,19,2006,23,11,965,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37,a109e5c8,10.7,1,12,5,41.7,1.121495327102804,0.47,0.08,0.2,0,0,a109e5c8,10.7,,,,,,,,,,,,,,,3,,,,,,a109e5c8,10.7,,,,,,,,,,,,,,,,,,,,,a109e5c8,10.7,,14,,,,,,,,,,,3,,,,a109e5c8,0.0934579439252336,0.2803738317757009,1.3084112149532712,0.2803738317757009,1.588785046728972,MF,,1,0.47873849032685617,-0.608765004518597
Beto__Everton,Beto,gw GNB,FW,Everton,27,1998,37,17,1568,17.4,9,1,10,9,0,0,3,0,0.52,0.06,0.57,0.52,0.57,ed5c0319,17.4,9,43,17,39.5,2.4712643678160924,0.98,0.21,0.53,0,0,ed5c0319,17.4,,,,,,,,,,,,,,,1,,,,,,ed5c0319,17.4,,,,,,,,,,,,,,,,,,,,,ed5c0319,17.4,,5,,,,,,,,,,,1,,,,ed5c0319,0.5172413793103449,0.0574712643678161,0.2873563218390805,0.0574712643678161,0.3448275862068966,FW,,2,4.303989135128499,0.20008506431545506
Jaka Bijol__Leeds United,Jaka Bijol,si SVN,DF,Leeds United,26,1999,25,21,1890,21.0,1,2,3,1,0,0,4,0,0.05,0.1,0.14,0.05,0.14,6fdac234,21.0,1,15,6,40.0,0.7142857142857143,0.29,0.07,0.17,0,0,6fdac234,21.0,,,,,,,,,,,,,,,2,,,,,,6fdac234,21.0,,,,,,,,,,,,,,,,,,,,,6fdac234,21.0,,13,,,,,,,,,,,22,,,,6fdac234,0.0476190476190476,0.0952380952380952,0.6190476190476191,1.0476190476190477,1.6666666666666667,DF,,0,-0.39718704399528976,-0.3032648833161628
Yves Bissouma__Tottenham,Yves Bissouma,ml MLI,MF,Tottenham,28,1996,11,7,603,6.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,6c203af0,6.7,0,5,2,40.0,0.7462686567164178,0.3,0.0,0.0,0,0,6c203af0,6.7,,,,,,,,,,,,,,,0,,,,,,6c203af0,6.7,,,,,,,,,,,,,,,,,,,,,6c203af0,6.7,,11,,,,,,,,,,,8,,,,6c203af0,0.0,0.0,1.6417910447761193,1.1940298507462686,2.835820895522388,MF,,0,-2.4675643207993336,0.34598299912035907
Lamare Bogarde__Aston Villa,Lamare Bogarde,nl NED,MFDF,Aston Villa,21,2004,28,11,1053,11.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,bca5c4a7,11.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,bca5c4a7,11.7,,,,,,,,,,,,,,,0,,,,,,bca5c4a7,11.7,,,,,,,,,,,,,,,,,,,,,bca5c4a7,11.7,,19,,,,,,,,,,,4,,,,bca5c4a7,0.0,0.0,1.623931623931624,0.3418803418803419,1.965811965811966,MF,DF,0,-2.4612603608122927,-1.2376416422568193
Jayden Bogle__Leeds United,Jayden Bogle,eng ENG,MFDF,Leeds United,25,2000,34,32,2793,31.0,1,2,3,1,0,0,6,0,0.03,0.06,0.1,0.03,0.1,ae5019e6,31.0,1,18,4,22.2,0.5806451612903226,0.13,0.06,0.25,0,0,ae5019e6,31.0,,,,,,,,,,,,,,,2,,,,,,ae5019e6,31.0,,,,,,,,,,,,,,,,,,,,,ae5019e6,31.0,,43,,,,,,,,,,,30,,,,ae5019e6,0.032258064516129,0.064516129032258,1.3870967741935485,0.967741935483871,2.3548387096774195,MF,DF,0,-1.6169210926324997,0.33385591156767236
Olivier Boscagli__Brighton,Olivier Boscagli,fr FRA,DF,Brighton,27,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,403f5d20,8.9,0,1,0,0.0,0.1123595505617977,0.0,0.0,0.0,0,0,403f5d20,8.9,,,,,,,,,,,,,,,1,,,,,,403f5d20,8.9,,,,,,,,,,,,,,,,,,,,,403f5d20,8.9,,11,,,,,,,,,,,16,,,,403f5d20,0.0,0.1123595505617977,1.2359550561797752,1.797752808988764,3.033707865168539,DF,,0,-3.7570388411659836,-0.3110851974408154
Sven Botman__Newcastle,Sven Botman,nl NED,DF,Newcastle,25,2000,25,21,1835,20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,ccce7025,20.4,1,15,4,26.7,0.7352941176470589,0.2,0.07,0.25,0,0,ccce7025,20.4,,,,,,,,,,,,,,,1,,,,,,ccce7025,20.4,,,,,,,,,,,,,,,,,,,,,ccce7025,20.4,,14,,,,,,,,,,,25,,,,ccce7025,0.0490196078431372,0.0490196078431372,0.6862745098039216,1.2254901960784317,1.911764705882353,DF,,0,-0.9315194718542831,-0.0019393570931131678
Jarrod Bowen__West Ham,Jarrod Bowen,eng ENG,MFFW,West Ham,28,1996,38,38,3403,37.8,9,11,20,8,1,1,4,0,0.24,0.29,0.53,0.21,0.5,79c84d1c,37.8,9,79,28,35.4,2.08994708994709,0.74,0.11,0.32,1,1,79c84d1c,37.8,,,,,,,,,,,,,,,11,,,,,,79c84d1c,37.8,,,,,,,,,,,,,,,,,,,,,79c84d1c,37.8,,28,,,,,,,,,,,27,,,,79c84d1c,0.2380952380952381,0.291005291005291,0.7407407407407408,0.7142857142857143,1.4550264550264551,MF,FW,1,1.5295194352693129,-0.4442230260061931
Conor Bradley__Liverpool,Conor Bradley,nir NIR,DF,Liverpool,22,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,bbd67769,10.3,0,6,0,0.0,0.5825242718446602,0.0,0.0,0.0,0,0,bbd67769,10.3,,,,,,,,,,,,,,,1,,,,,,bbd67769,10.3,,,,,,,,,,,,,,,,,,,,,bbd67769,10.3,,15,,,,,,,,,,,12,,,,bbd67769,0.0,0.0970873786407767,1.4563106796116505,1.1650485436893203,2.6213592233009706,DF,,0,-2.9809289558514087,-0.8013932634432795
Jarrad Branthwaite__Everton,Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,c1949191,7.6,1,6,2,33.3,0.7894736842105263,0.26,0.17,0.5,0,0,c1949191,7.6,,,,,,,,,,,,,,,0,,,,,,c1949191,7.6,,,,,,,,,,,,,,,,,,,,,c1949191,7.6,,6,,,,,,,,,,,11,,,,c1949191,0.131578947368421,0.0,0.7894736842105263,1.4473684210526316,2.236842105263158,DF,,3,-0.3267189202505341,1.838174510736497
Brian Brobbey__Sunderland,Brian Brobbey,nl NED,FW,Sunderland,23,2002,31,22,1927,21.4,7,1,8,7,0,0,6,0,0.33,0.05,0.37,0.33,0.37,4c184730,21.4,7,36,18,50.0,1.6822429906542058,0.84,0.19,0.39,0,0,4c184730,21.4,,,,,,,,,,,,,,,1,,,,,,4c184730,21.4,,,,,,,,,,,,,,,,,,,,,4c184730,21.4,,2,,,,,,,,,,,0,,,,4c184730,0.3271028037383178,0.0467289719626168,0.0934579439252336,0.0,0.0934579439252336,FW,,2,3.6775533261054445,-0.3886436733884147
Armando Broja__Burnley,Armando Broja,al ALB,FW,Burnley,23,2001,24,8,860,9.6,1,1,2,1,0,0,0,0,0.1,0.1,0.21,0.1,0.21,97220da2,9.6,1,16,6,37.5,1.6666666666666667,0.63,0.06,0.17,0,0,97220da2,9.6,,,,,,,,,,,,,,,1,,,,,,97220da2,9.6,,,,,,,,,,,,,,,,,,,,,97220da2,9.6,,3,,,,,,,,,,,3,,,,97220da2,0.1041666666666666,0.1041666666666666,0.3125,0.3125,0.625,FW,,1,1.4259933215136482,-1.672692192684242
David Brooks__Bournemouth,David Brooks,wls WAL,MF,Bournemouth,28,1997,31,13,1204,13.4,1,3,4,1,0,0,7,0,0.07,0.22,0.3,0.07,0.3,dc4cae05,13.4,1,48,13,27.1,3.582089552238806,0.97,0.02,0.08,0,0,dc4cae05,13.4,,,,,,,,,,,,,,,3,,,,,,dc4cae05,13.4,,,,,,,,,,,,,,,,,,,,,dc4cae05,13.4,,13,,,,,,,,,,,4,,,,dc4cae05,0.0746268656716417,0.2238805970149253,0.9701492537313432,0.2985074626865671,1.2686567164179103,MF,,1,1.1370556451431206,-2.144186153296838
Jacob Bruun Larsen__Burnley,Jacob Bruun Larsen,dk DEN,MFFW,Burnley,26,1998,28,10,1030,11.4,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,4e204552,11.4,0,17,4,23.5,1.4912280701754386,0.35,0.0,0.0,0,0,4e204552,11.4,,,,,,,,,,,,,,,1,,,,,,4e204552,11.4,,,,,,,,,,,,,,,,,,,,,4e204552,11.4,,3,,,,,,,,,,,6,,,,4e204552,0.0,0.087719298245614,0.2631578947368421,0.5263157894736842,0.7894736842105263,MF,FW,1,0.0909022551165954,-2.5469263114197056
Emi Buendía__Aston Villa,Emi Buendía,ar ARG,MF,Aston Villa,28,1996,36,21,1755,19.5,6,2,8,6,0,0,6,0,0.31,0.1,0.41,0.31,0.41,66b76d44,19.5,6,49,13,26.5,2.5128205128205128,0.67,0.12,0.46,0,0,66b76d44,19.5,,,,,,,,,,,,,,,2,,,,,,66b76d44,19.5,,,,,,,,,,,,,,,,,,,,,66b76d44,19.5,,27,,,,,,,,,,,13,,,,66b76d44,0.3076923076923077,0.1025641025641025,1.3846153846153846,0.6666666666666666,2.051282051282051,MF,,3,1.0286459253585485,0.841680077885274
Hugo Bueno__Wolves,Hugo Bueno,es ESP,MFDF,Wolves,22,2002,35,26,2366,26.3,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,bfc3b3a0,26.3,1,16,6,37.5,0.6083650190114068,0.23,0.06,0.17,0,0,bfc3b3a0,26.3,,,,,,,,,,,,,,,2,,,,,,bfc3b3a0,26.3,,,,,,,,,,,,,,,,,,,,,bfc3b3a0,26.3,,35,,,,,,,,,,,33,,,,bfc3b3a0,0.0380228136882129,0.0760456273764258,1.3307984790874523,1.254752851711027,2.585551330798479,MF,DF,0,-1.6704973869404596,0.669039458563295
Santiago Bueno__Wolves,Santiago Bueno,uy URU,DF,Wolves,26,1998,29,28,2553,28.4,3,1,4,3,0,0,4,0,0.11,0.04,0.14,0.11,0.14,edc98fac,28.4,3,10,7,70.0,0.352112676056338,0.25,0.3,0.43,0,0,edc98fac,28.4,,,,,,,,,,,,,,,1,,,,,,edc98fac,28.4,,,,,,,,,,,,,,,,,,,,,edc98fac,28.4,,30,,,,,,,,,,,27,,,,edc98fac,0.1056338028169014,0.0352112676056338,1.0563380281690142,0.9507042253521129,2.007042253521127,DF,,3,0.9924517663025905,2.8801464773727887
Dan Burn__Newcastle,Dan Burn,eng ENG,DF,Newcastle,33,1992,29,25,2199,24.4,1,2,3,1,0,0,11,1,0.04,0.08,0.12,0.04,0.12,b2d31e83,24.4,1,10,3,30.0,0.4098360655737705,0.12,0.1,0.33,0,0,b2d31e83,24.4,,,,,,,,,,,,,,,2,,,,,,b2d31e83,24.4,,,,,,,,,,,,,,,,,,,,,b2d31e83,24.4,,26,,,,,,,,,,,20,,,,b2d31e83,0.040983606557377,0.0819672131147541,1.0655737704918034,0.819672131147541,1.8852459016393444,DF,,3,-0.6746552458039418,0.37262556690948473
Moisés Caicedo__Chelsea,Moisés Caicedo,ec ECU,MF,Chelsea,23,2001,33,32,2795,31.1,3,1,4,3,0,0,11,1,0.1,0.03,0.13,0.1,0.13,16264a81,31.1,3,27,7,25.9,0.8681672025723473,0.23,0.11,0.43,0,0,16264a81,31.1,,,,,,,,,,,,,,,1,,,,,,16264a81,31.1,,,,,,,,,,,,,,,,,,,,,16264a81,31.1,,47,,,,,,,,,,,59,,,,16264a81,0.0964630225080385,0.0321543408360128,1.5112540192926045,1.8971061093247588,3.408360128617363,MF,,3,-2.2392653514650664,2.3742889384064036
Tom Cairney__Fulham,Tom Cairney,sct SCO,MF,Fulham,34,1991,24,6,775,8.6,2,0,2,2,0,0,3,0,0.23,0.0,0.23,0.23,0.23,a8748947,8.6,2,17,2,11.8,1.976744186046512,0.23,0.12,1.0,0,0,a8748947,8.6,,,,,,,,,,,,,,,0,,,,,,a8748947,8.6,,,,,,,,,,,,,,,,,,,,,a8748947,8.6,,4,,,,,,,,,,,4,,,,a8748947,0.2325581395348837,0.0,0.4651162790697674,0.4651162790697674,0.9302325581395348,MF,,2,2.0801798496417945,0.7117030922846524
Riccardo Calafiori__Arsenal,Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,26,22,1699,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,aded8e6f,18.9,1,32,8,25.0,1.6931216931216932,0.42,0.03,0.13,0,0,aded8e6f,18.9,,,,,,,,,,,,,,,2,,,,,,aded8e6f,18.9,,,,,,,,,,,,,,,,,,,,,aded8e6f,18.9,,19,,,,,,,,,,,13,,,,aded8e6f,0.0529100529100529,0.1058201058201058,1.0052910052910051,0.6878306878306879,1.6931216931216932,DF,,1,-0.4090627760134754,-1.0376513824951175
Dominic Calvert-Lewin__Leeds United,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,35,30,2721,30.2,14,1,15,10,4,5,3,0,0.46,0.03,0.5,0.33,0.36,59e6e5bf,30.2,14,73,34,46.6,2.4172185430463577,1.12,0.19,0.41,4,5,59e6e5bf,30.2,,,,,,,,,,,,,,,1,,,,,,59e6e5bf,30.2,,,,,,,,,,,,,,,,,,,,,59e6e5bf,30.2,,4,,,,,,,,,,,5,,,,59e6e5bf,0.4635761589403974,0.0331125827814569,0.1324503311258278,0.1655629139072847,0.2980132450331126,FW,,2,4.060206298497579,-0.1141871484665062
Jaydee Canvot__Crystal Palace,Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,20,14,1336,14.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,3684108d,14.8,0,7,1,14.3,0.4729729729729729,0.07,0.0,0.0,0,0,3684108d,14.8,,,,,,,,,,,,,,,0,,,,,,3684108d,14.8,,,,,,,,,,,,,,,,,,,,,3684108d,14.8,,22,,,,,,,,,,,12,,,,3684108d,0.0,0.0,1.4864864864864864,0.8108108108108107,2.2972972972972974,DF,,0,-2.4254171465958754,-0.6825784879019632
Casemiro__Manchester Utd,Casemiro,br BRA,MF,Manchester Utd,33,1992,34,33,2571,28.6,9,2,11,9,0,0,11,1,0.32,0.07,0.39,0.32,0.39,4d224fe8,28.6,9,52,18,34.6,1.818181818181818,0.63,0.17,0.5,0,0,4d224fe8,28.6,,,,,,,,,,,,,,,2,,,,,,4d224fe8,28.6,,,,,,,,,,,,,,,,,,,,,4d224fe8,28.6,,45,,,,,,,,,,,30,,,,4d224fe8,0.3146853146853147,0.0699300699300699,1.573426573426573,1.048951048951049,2.622377622377622,MF,,3,0.39014363878493785,2.205139452189507
Matty Cash__Aston Villa,Matty Cash,pl POL,DF,Aston Villa,27,1997,35,34,3014,33.5,3,3,6,3,0,0,9,0,0.09,0.09,0.18,0.09,0.18,2389cdc2,33.5,3,30,10,33.3,0.8955223880597015,0.3,0.1,0.3,0,0,2389cdc2,33.5,,,,,,,,,,,,,,,3,,,,,,2389cdc2,33.5,,,,,,,,,,,,,,,,,,,,,2389cdc2,33.5,,32,,,,,,,,,,,24,,,,2389cdc2,0.0895522388059701,0.0895522388059701,0.9552238805970148,0.7164179104477612,1.671641791044776,DF,,3,-0.018217144148411246,0.09133750847161136
Timothy Castagne__Fulham,Timothy Castagne,be BEL,DFMF,Fulham,29,1995,30,20,1845,20.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,197640fd,20.5,0,14,6,42.9,0.6829268292682927,0.29,0.0,0.0,0,0,197640fd,20.5,,,,,,,,,,,,,,,0,,,,,,197640fd,20.5,,,,,,,,,,,,,,,,,,,,,197640fd,20.5,,24,,,,,,,,,,,28,,,,197640fd,0.0,0.0,1.170731707317073,1.3658536585365857,2.5365853658536586,DF,MF,0,-2.1277913874146686,0.06567212717111798
Valentín Castellanos__West Ham,Valentín Castellanos,ar ARG,FW,West Ham,26,1998,18,17,1384,15.4,6,0,6,6,0,0,6,0,0.39,0.0,0.39,0.39,0.39,da76bab4,15.4,6,50,22,44.0,3.2467532467532467,1.43,0.12,0.27,0,0,da76bab4,15.4,,,,,,,,,,,,,,,0,,,,,,da76bab4,15.4,,,,,,,,,,,,,,,,,,,,,da76bab4,15.4,,9,,,,,,,,,,,6,,,,da76bab4,0.3896103896103896,0.0,0.5844155844155844,0.3896103896103896,0.974025974025974,FW,,2,2.8754963749098916,-0.28052242865033594
Trevoh Chalobah__Chelsea,Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,34,31,2783,30.9,3,0,3,3,0,0,3,1,0.1,0.0,0.1,0.1,0.1,5515376c,30.9,3,16,5,31.3,0.5177993527508091,0.16,0.19,0.6,0,0,5515376c,30.9,,,,,,,,,,,,,,,0,,,,,,5515376c,30.9,,,,,,,,,,,,,,,,,,,,,5515376c,30.9,,22,,,,,,,,,,,37,,,,5515376c,0.0970873786407767,0.0,0.7119741100323624,1.197411003236246,1.9093851132686088,DF,,3,0.028271769234664353,1.78572968022167
Rayan Cherki__Manchester City,Rayan Cherki,fr FRA,MF,Manchester City,21,2003,33,19,1786,19.8,4,12,16,4,0,0,1,0,0.2,0.6,0.81,0.2,0.81,b34c63a5,19.8,4,55,13,23.6,2.7777777777777777,0.66,0.07,0.31,0,0,b34c63a5,19.8,,,,,,,,,,,,,,,12,,,,,,b34c63a5,19.8,,,,,,,,,,,,,,,,,,,,,b34c63a5,19.8,,16,,,,,,,,,,,7,,,,b34c63a5,0.202020202020202,0.6060606060606061,0.8080808080808081,0.3535353535353535,1.1616161616161615,MF,,1,2.110423650096206,-2.046658420804023
Ryan Christie__Bournemouth,Ryan Christie,sct SCO,MF,Bournemouth,30,1995,26,9,994,11.0,2,0,2,2,0,0,3,1,0.18,0.0,0.18,0.18,0.18,26ce2263,11.0,2,25,8,32.0,2.272727272727273,0.72,0.08,0.25,0,0,26ce2263,11.0,,,,,,,,,,,,,,,0,,,,,,26ce2263,11.0,,,,,,,,,,,,,,,,,,,,,26ce2263,11.0,,20,,,,,,,,,,,11,,,,26ce2263,0.1818181818181818,0.0,1.818181818181818,1.0,2.8181818181818183,MF,,3,-0.7796904623697811,1.203078034663001
Samuel Chukwueze__Fulham,Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,23,10,1079,12.0,3,4,7,3,0,0,0,0,0.25,0.33,0.58,0.25,0.58,b8a642fc,12.0,3,25,7,28.0,2.083333333333333,0.58,0.12,0.43,0,0,b8a642fc,12.0,,,,,,,,,,,,,,,4,,,,,,b8a642fc,12.0,,,,,,,,,,,,,,,,,,,,,b8a642fc,12.0,,4,,,,,,,,,,,6,,,,b8a642fc,0.25,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334,MF,,1,2.374518737337344,-1.0466562219757494
Nathan Collins__Brentford,Nathan Collins,ie IRL,DF,Brentford,24,2001,35,32,2975,33.1,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,a8c19eb8,33.1,1,20,6,30.0,0.6042296072507553,0.18,0.05,0.17,0,0,a8c19eb8,33.1,,,,,,,,,,,,,,,2,,,,,,a8c19eb8,33.1,,,,,,,,,,,,,,,,,,,,,a8c19eb8,33.1,,13,,,,,,,,,,,36,,,,a8c19eb8,0.0302114803625377,0.0604229607250755,0.3927492447129909,1.0876132930513596,1.4803625377643503,DF,,0,-0.6162561402602912,-0.7523857286742306
Lewis Cook__Bournemouth,Lewis Cook,eng ENG,MFDF,Bournemouth,28,1997,18,8,874,9.7,0,1,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1,2afc7272,9.7,0,3,0,0.0,0.3092783505154639,0.0,0.0,0.0,0,0,2afc7272,9.7,,,,,,,,,,,,,,,1,,,,,,2afc7272,9.7,,,,,,,,,,,,,,,,,,,,,2afc7272,9.7,,17,,,,,,,,,,,21,,,,2afc7272,0.0,0.1030927835051546,1.752577319587629,2.164948453608248,3.9175257731958766,MF,DF,0,-4.755105621429888,0.6707985980305364
Marc Cucurella__Chelsea,Marc Cucurella,es ESP,DF,Chelsea,27,1998,34,31,2707,30.1,1,4,5,1,0,0,8,1,0.03,0.13,0.17,0.03,0.17,1daec722,30.1,1,20,6,30.0,0.6644518272425249,0.2,0.05,0.17,0,0,1daec722,30.1,,,,,,,,,,,,,,,4,,,,,,1daec722,30.1,,,,,,,,,,,,,,,,,,,,,1daec722,30.1,,40,,,,,,,,,,,28,,,,1daec722,0.0332225913621262,0.1328903654485049,1.32890365448505,0.9302325581395348,2.2591362126245844,DF,,0,-1.3498767908549898,-0.023073548751245763
Jorge Cuenca__Fulham,Jorge Cuenca,es ESP,DF,Fulham,25,1999,15,11,938,10.4,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0abc51f2,10.4,0,1,0,0.0,0.0961538461538461,0.0,0.0,0.0,0,0,0abc51f2,10.4,,,,,,,,,,,,,,,0,,,,,,0abc51f2,10.4,,,,,,,,,,,,,,,,,,,,,0abc51f2,10.4,,10,,,,,,,,,,,15,,,,0abc51f2,0.0,0.0,0.9615384615384616,1.4423076923076923,2.4038461538461537,DF,,0,-3.1198200973232773,-0.7810875314834016
Josh Cullen__Burnley,Josh Cullen,ie IRL,MF,Burnley,29,1996,18,18,1514,16.8,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,f6d7d690,16.8,2,11,6,54.5,0.6547619047619048,0.36,0.18,0.33,0,0,f6d7d690,16.8,,,,,,,,,,,,,,,2,,,,,,f6d7d690,16.8,,,,,,,,,,,,,,,,,,,,,f6d7d690,16.8,,19,,,,,,,,,,,24,,,,f6d7d690,0.119047619047619,0.119047619047619,1.130952380952381,1.4285714285714286,2.5595238095238093,MF,,3,-0.36169839506711254,2.0381673538304925
Matheus Cunha__Manchester Utd,Matheus Cunha,br BRA,MFFW,Manchester Utd,26,1999,33,29,2494,27.7,10,2,12,10,0,0,4,0,0.36,0.07,0.43,0.36,0.43,dc62b55d,27.7,10,90,35,38.9,3.249097472924188,1.26,0.11,0.29,0,0,dc62b55d,27.7,,,,,,,,,,,,,,,2,,,,,,dc62b55d,27.7,,,,,,,,,,,,,,,,,,,,,dc62b55d,27.7,,23,,,,,,,,,,,21,,,,dc62b55d,0.3610108303249097,0.0722021660649819,0.8303249097472925,0.7581227436823105,1.588447653429603,MF,FW,2,1.9966061145978695,0.11507243372199609
Diogo Dalot__Manchester Utd,Diogo Dalot,pt POR,DFMF,Manchester Utd,26,1999,34,29,2614,29.0,1,3,4,1,0,0,5,0,0.03,0.1,0.14,0.03,0.14,d9565625,29.0,1,24,6,25.0,0.8275862068965517,0.21,0.04,0.17,0,0,d9565625,29.0,,,,,,,,,,,,,,,3,,,,,,d9565625,29.0,,,,,,,,,,,,,,,,,,,,,d9565625,29.0,,30,,,,,,,,,,,26,,,,d9565625,0.0344827586206896,0.1034482758620689,1.0344827586206895,0.896551724137931,1.9310344827586208,DF,MF,0,-1.0718993069989953,-0.5091011812067058
Mikkel Damsgaard__Brentford,Mikkel Damsgaard,dk DEN,MF,Brentford,25,2000,33,24,2054,22.8,4,4,8,4,0,0,0,0,0.18,0.18,0.35,0.18,0.35,215f3907,22.8,4,29,11,37.9,1.2719298245614037,0.48,0.14,0.36,0,0,215f3907,22.8,,,,,,,,,,,,,,,4,,,,,,215f3907,22.8,,,,,,,,,,,,,,,,,,,,,215f3907,22.8,,34,,,,,,,,,,,24,,,,215f3907,0.175438596491228,0.175438596491228,1.4912280701754386,1.0526315789473684,2.543859649122807,MF,,3,-0.23699142441067456,1.3948104736664237
Kevin Danso__Tottenham,Kevin Danso,at AUT,DF,Tottenham,26,1998,24,17,1494,16.6,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,6e33125f,16.6,0,11,2,18.2,0.6626506024096385,0.12,0.0,0.0,0,0,6e33125f,16.6,,,,,,,,,,,,,,,0,,,,,,6e33125f,16.6,,,,,,,,,,,,,,,,,,,,,6e33125f,16.6,,13,,,,,,,,,,,25,,,,6e33125f,0.0,0.0,0.7831325301204819,1.506024096385542,2.289156626506024,DF,,0,-2.38077940115648,-0.664546379151827
Maxim De Cuyper__Brighton,Maxim De Cuyper,be BEL,DFMF,Brighton,24,2000,30,17,1414,15.7,2,3,5,2,0,0,2,0,0.13,0.19,0.32,0.13,0.32,d494882e,15.7,2,13,6,46.2,0.8280254777070064,0.38,0.15,0.33,0,0,d494882e,15.7,,,,,,,,,,,,,,,3,,,,,,d494882e,15.7,,,,,,,,,,,,,,,,,,,,,d494882e,15.7,,10,,,,,,,,,,,11,,,,d494882e,0.1273885350318471,0.1910828025477707,0.6369426751592357,0.7006369426751593,1.337579617834395,DF,MF,1,1.063558565783647,0.167471562633562
Liam Delap__Chelsea,Liam Delap,eng ENG,FW,Chelsea,22,2003,28,12,1107,12.3,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,dd897ee7,12.3,1,36,11,30.6,2.926829268292683,0.89,0.03,0.09,0,0,dd897ee7,12.3,,,,,,,,,,,,,,,0,,,,,,dd897ee7,12.3,,,,,,,,,,,,,,,,,,,,,dd897ee7,12.3,,3,,,,,,,,,,,1,,,,dd897ee7,0.08130081300813,0.0,0.2439024390243902,0.08130081300813,0.3252032520325203,FW,,1,1.8260864788928168,-2.4916351110898165
