Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id
Sander Berge,no NOR,MF,Fulham,27,1998,35,34,2905,32.3,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,d0b6129f,32.3,0,14,3,21.4,0.43,0.09,0.0,0.0,0,0,d0b6129f,32.3,,,,,,,,,,,,,,,1,,,,,,d0b6129f,32.3,,,,,,,,,,,,,,,,,,,,,d0b6129f,32.3,,41,,,,,,,,,,,26,,,,d0b6129f,Sander Berge__Fulham
Lucas Bergvall,se SWE,MF,Tottenham,19,2006,23,11,965,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37,a109e5c8,10.7,1,12,5,41.7,1.12,0.47,0.08,0.2,0,0,a109e5c8,10.7,,,,,,,,,,,,,,,3,,,,,,a109e5c8,10.7,,,,,,,,,,,,,,,,,,,,,a109e5c8,10.7,,14,,,,,,,,,,,3,,,,a109e5c8,Lucas Bergvall__Tottenham
Beto,gw GNB,FW,Everton,27,1998,37,17,1568,17.4,9,1,10,9,0,0,3,0,0.52,0.06,0.57,0.52,0.57,ed5c0319,17.4,9,43,17,39.5,2.47,0.98,0.21,0.53,0,0,ed5c0319,17.4,,,,,,,,,,,,,,,1,,,,,,ed5c0319,17.4,,,,,,,,,,,,,,,,,,,,,ed5c0319,17.4,,5,,,,,,,,,,,1,,,,ed5c0319,Beto__Everton
Jaka Bijol,si SVN,DF,Leeds United,26,1999,25,21,1890,21.0,1,2,3,1,0,0,4,0,0.05,0.1,0.14,0.05,0.14,6fdac234,21.0,1,15,6,40.0,0.71,0.29,0.07,0.17,0,0,6fdac234,21.0,,,,,,,,,,,,,,,2,,,,,,6fdac234,21.0,,,,,,,,,,,,,,,,,,,,,6fdac234,21.0,,13,,,,,,,,,,,22,,,,6fdac234,Jaka Bijol__Leeds United
Yves Bissouma,ml MLI,MF,Tottenham,28,1996,11,7,603,6.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,6c203af0,6.7,0,5,2,40.0,0.75,0.3,0.0,0.0,0,0,6c203af0,6.7,,,,,,,,,,,,,,,0,,,,,,6c203af0,6.7,,,,,,,,,,,,,,,,,,,,,6c203af0,6.7,,11,,,,,,,,,,,8,,,,6c203af0,Yves Bissouma__Tottenham
Marco Bizot,nl NED,GK,Aston Villa,34,1991,7,6,585,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,3d214e5f,6.5,0,0,0,,0.0,0.0,,,0,0,3d214e5f,6.5,,,,,,,,,,,,,,,0,,,,,,3d214e5f,6.5,,,,,,,,,,,,,,,,,,,,,3d214e5f,6.5,,0,,,,,,,,,,,0,,,,3d214e5f,Marco Bizot__Aston Villa
Oscar Bobb,no NOR,MFFW,Manchester City,22,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,eed2427e,5.2,0,4,0,0.0,0.77,0.0,0.0,,0,0,eed2427e,5.2,,,,,,,,,,,,,,,1,,,,,,eed2427e,5.2,,,,,,,,,,,,,,,,,,,,,eed2427e,5.2,,5,,,,,,,,,,,3,,,,eed2427e,Oscar Bobb__Manchester City
Oscar Bobb,no NOR,MF,Fulham,22,2003,14,6,571,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,eed2427e,6.3,0,8,3,37.5,1.26,0.47,0.0,0.0,0,0,eed2427e,6.3,,,,,,,,,,,,,,,0,,,,,,eed2427e,6.3,,,,,,,,,,,,,,,,,,,,,eed2427e,6.3,,7,,,,,,,,,,,6,,,,eed2427e,Oscar Bobb__Fulham
Lamare Bogarde,nl NED,MFDF,Aston Villa,21,2004,28,11,1053,11.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,bca5c4a7,11.7,0,0,0,,0.0,0.0,,,0,0,bca5c4a7,11.7,,,,,,,,,,,,,,,0,,,,,,bca5c4a7,11.7,,,,,,,,,,,,,,,,,,,,,bca5c4a7,11.7,,19,,,,,,,,,,,4,,,,bca5c4a7,Lamare Bogarde__Aston Villa
Jayden Bogle,eng ENG,MFDF,Leeds United,25,2000,34,32,2793,31.0,1,2,3,1,0,0,6,0,0.03,0.06,0.1,0.03,0.1,ae5019e6,31.0,1,18,4,22.2,0.58,0.13,0.06,0.25,0,0,ae5019e6,31.0,,,,,,,,,,,,,,,2,,,,,,ae5019e6,31.0,,,,,,,,,,,,,,,,,,,,,ae5019e6,31.0,,43,,,,,,,,,,,30,,,,ae5019e6,Jayden Bogle__Leeds United
Sebastiaan Bornauw,be BEL,DF,Leeds United,26,1999,12,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,01834aa0,4.8,0,1,0,0.0,0.21,0.0,0.0,,0,0,01834aa0,4.8,,,,,,,,,,,,,,,0,,,,,,01834aa0,4.8,,,,,,,,,,,,,,,,,,,,,01834aa0,4.8,,4,,,,,,,,,,,7,,,,01834aa0,Sebastiaan Bornauw__Leeds United
Olivier Boscagli,fr FRA,DF,Brighton,27,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,403f5d20,8.9,0,1,0,0.0,0.11,0.0,0.0,,0,0,403f5d20,8.9,,,,,,,,,,,,,,,1,,,,,,403f5d20,8.9,,,,,,,,,,,,,,,,,,,,,403f5d20,8.9,,11,,,,,,,,,,,16,,,,403f5d20,Olivier Boscagli__Brighton
Sven Botman,nl NED,DF,Newcastle,25,2000,25,21,1835,20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,ccce7025,20.4,1,15,4,26.7,0.74,0.2,0.07,0.25,0,0,ccce7025,20.4,,,,,,,,,,,,,,,1,,,,,,ccce7025,20.4,,,,,,,,,,,,,,,,,,,,,ccce7025,20.4,,14,,,,,,,,,,,25,,,,ccce7025,Sven Botman__Newcastle
Jarrod Bowen,eng ENG,MFFW,West Ham,28,1996,38,38,3403,37.8,9,11,20,8,1,1,4,0,0.24,0.29,0.53,0.21,0.5,79c84d1c,37.8,9,79,28,35.4,2.09,0.74,0.11,0.32,1,1,79c84d1c,37.8,,,,,,,,,,,,,,,11,,,,,,79c84d1c,37.8,,,,,,,,,,,,,,,,,,,,,79c84d1c,37.8,,28,,,,,,,,,,,27,,,,79c84d1c,Jarrod Bowen__West Ham
Conor Bradley,nir NIR,DF,Liverpool,22,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,bbd67769,10.3,0,6,0,0.0,0.58,0.0,0.0,,0,0,bbd67769,10.3,,,,,,,,,,,,,,,1,,,,,,bbd67769,10.3,,,,,,,,,,,,,,,,,,,,,bbd67769,10.3,,15,,,,,,,,,,,12,,,,bbd67769,Conor Bradley__Liverpool
Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,c1949191,7.6,1,6,2,33.3,0.79,0.26,0.17,0.5,0,0,c1949191,7.6,,,,,,,,,,,,,,,0,,,,,,c1949191,7.6,,,,,,,,,,,,,,,,,,,,,c1949191,7.6,,6,,,,,,,,,,,11,,,,c1949191,Jarrad Branthwaite__Everton
Brian Brobbey,nl NED,FW,Sunderland,23,2002,31,22,1927,21.4,7,1,8,7,0,0,6,0,0.33,0.05,0.37,0.33,0.37,4c184730,21.4,7,36,18,50.0,1.68,0.84,0.19,0.39,0,0,4c184730,21.4,,,,,,,,,,,,,,,1,,,,,,4c184730,21.4,,,,,,,,,,,,,,,,,,,,,4c184730,21.4,,2,,,,,,,,,,,0,,,,4c184730,Brian Brobbey__Sunderland
Armando Broja,al ALB,FW,Burnley,23,2001,24,8,860,9.6,1,1,2,1,0,0,0,0,0.1,0.1,0.21,0.1,0.21,97220da2,9.6,1,16,6,37.5,1.67,0.63,0.06,0.17,0,0,97220da2,9.6,,,,,,,,,,,,,,,1,,,,,,97220da2,9.6,,,,,,,,,,,,,,,,,,,,,97220da2,9.6,,3,,,,,,,,,,,3,,,,97220da2,Armando Broja__Burnley
David Brooks,wls WAL,MF,Bournemouth,28,1997,31,13,1204,13.4,1,3,4,1,0,0,7,0,0.07,0.22,0.3,0.07,0.3,dc4cae05,13.4,1,48,13,27.1,3.59,0.97,0.02,0.08,0,0,dc4cae05,13.4,,,,,,,,,,,,,,,3,,,,,,dc4cae05,13.4,,,,,,,,,,,,,,,,,,,,,dc4cae05,13.4,,13,,,,,,,,,,,4,,,,dc4cae05,David Brooks__Bournemouth
Jacob Bruun Larsen,dk DEN,MFFW,Burnley,26,1998,28,10,1030,11.4,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,4e204552,11.4,0,17,4,23.5,1.49,0.35,0.0,0.0,0,0,4e204552,11.4,,,,,,,,,,,,,,,1,,,,,,4e204552,11.4,,,,,,,,,,,,,,,,,,,,,4e204552,11.4,,3,,,,,,,,,,,6,,,,4e204552,Jacob Bruun Larsen__Burnley
Emi Buendía,ar ARG,MF,Aston Villa,28,1996,36,21,1755,19.5,6,2,8,6,0,0,6,0,0.31,0.1,0.41,0.31,0.41,66b76d44,19.5,6,49,13,26.5,2.51,0.67,0.12,0.46,0,0,66b76d44,19.5,,,,,,,,,,,,,,,2,,,,,,66b76d44,19.5,,,,,,,,,,,,,,,,,,,,,66b76d44,19.5,,27,,,,,,,,,,,13,,,,66b76d44,Emi Buendía__Aston Villa
Hugo Bueno,es ESP,MFDF,Wolves,22,2002,35,26,2366,26.3,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,bfc3b3a0,26.3,1,16,6,37.5,0.61,0.23,0.06,0.17,0,0,bfc3b3a0,26.3,,,,,,,,,,,,,,,2,,,,,,bfc3b3a0,26.3,,,,,,,,,,,,,,,,,,,,,bfc3b3a0,26.3,,35,,,,,,,,,,,33,,,,bfc3b3a0,Hugo Bueno__Wolves
Santiago Bueno,uy URU,DF,Wolves,26,1998,29,28,2553,28.4,3,1,4,3,0,0,4,0,0.11,0.04,0.14,0.11,0.14,edc98fac,28.4,3,10,7,70.0,0.35,0.25,0.3,0.43,0,0,edc98fac,28.4,,,,,,,,,,,,,,,1,,,,,,edc98fac,28.4,,,,,,,,,,,,,,,,,,,,,edc98fac,28.4,,30,,,,,,,,,,,27,,,,edc98fac,Santiago Bueno__Wolves
Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,468a7a91,0.5,0,0,0,,0.0,0.0,,,0,0,468a7a91,0.5,,,,,,,,,,,,,,,0,,,,,,468a7a91,0.5,,,,,,,,,,,,,,,,,,,,,468a7a91,0.5,,0,,,,,,,,,,,0,,,,468a7a91,Facundo Buonanotte__Chelsea
Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,3,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,468a7a91,0.4,0,2,0,0.0,4.62,0.0,0.0,,0,0,468a7a91,0.4,,,,,,,,,,,,,,,0,,,,,,468a7a91,0.4,,,,,,,,,,,,,,,,,,,,,468a7a91,0.4,,0,,,,,,,,,,,1,,,,468a7a91,Facundo Buonanotte__Leeds United
Dan Burn,eng ENG,DF,Newcastle,33,1992,29,25,2199,24.4,1,2,3,1,0,0,11,1,0.04,0.08,0.12,0.04,0.12,b2d31e83,24.4,1,10,3,30.0,0.41,0.12,0.1,0.33,0,0,b2d31e83,24.4,,,,,,,,,,,,,,,2,,,,,,b2d31e83,24.4,,,,,,,,,,,,,,,,,,,,,b2d31e83,24.4,,26,,,,,,,,,,,20,,,,b2d31e83,Dan Burn__Newcastle
Bradley Burrowes,eng ENG,MF,Aston Villa,17,2008,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,802ee5ca,0.2,0,0,0,,0.0,0.0,,,0,0,802ee5ca,0.2,,,,,,,,,,,,,,,0,,,,,,802ee5ca,0.2,,,,,,,,,,,,,,,,,,,,,802ee5ca,0.2,,0,,,,,,,,,,,0,,,,802ee5ca,Bradley Burrowes__Aston Villa
Jun'ai Byfield,eng ENG,DF,Tottenham,16,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0312881b,0.0,0,0,0,,0.0,0.0,,,0,0,0312881b,0.0,,,,,,,,,,,,,,,0,,,,,,0312881b,0.0,,,,,,,,,,,,,,,,,,,,,0312881b,0.0,,0,,,,,,,,,,,0,,,,0312881b,Jun'ai Byfield__Tottenham
Sam Byram,eng ENG,DFMF,Leeds United,31,1993,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1bf811d4,0.1,0,0,0,,0.0,0.0,,,0,0,1bf811d4,0.1,,,,,,,,,,,,,,,0,,,,,,1bf811d4,0.1,,,,,,,,,,,,,,,,,,,,,1bf811d4,0.1,,1,,,,,,,,,,,0,,,,1bf811d4,Sam Byram__Leeds United
Moisés Caicedo,ec ECU,MF,Chelsea,23,2001,33,32,2795,31.1,3,1,4,3,0,0,11,1,0.1,0.03,0.13,0.1,0.13,16264a81,31.1,3,27,7,25.9,0.87,0.23,0.11,0.43,0,0,16264a81,31.1,,,,,,,,,,,,,,,1,,,,,,16264a81,31.1,,,,,,,,,,,,,,,,,,,,,16264a81,31.1,,47,,,,,,,,,,,59,,,,16264a81,Moisés Caicedo__Chelsea
Tom Cairney,sct SCO,MF,Fulham,34,1991,24,6,775,8.6,2,0,2,2,0,0,3,0,0.23,0.0,0.23,0.23,0.23,a8748947,8.6,2,17,2,11.8,1.97,0.23,0.12,1.0,0,0,a8748947,8.6,,,,,,,,,,,,,,,0,,,,,,a8748947,8.6,,,,,,,,,,,,,,,,,,,,,a8748947,8.6,,4,,,,,,,,,,,4,,,,a8748947,Tom Cairney__Fulham
Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,26,22,1699,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,aded8e6f,18.9,1,32,8,25.0,1.7,0.42,0.03,0.13,0,0,aded8e6f,18.9,,,,,,,,,,,,,,,2,,,,,,aded8e6f,18.9,,,,,,,,,,,,,,,,,,,,,aded8e6f,18.9,,19,,,,,,,,,,,13,,,,aded8e6f,Riccardo Calafiori__Arsenal
Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,35,30,2721,30.2,14,1,15,10,4,5,3,0,0.46,0.03,0.5,0.33,0.36,59e6e5bf,30.2,14,73,34,46.6,2.41,1.12,0.19,0.41,4,5,59e6e5bf,30.2,,,,,,,,,,,,,,,1,,,,,,59e6e5bf,30.2,,,,,,,,,,,,,,,,,,,,,59e6e5bf,30.2,,4,,,,,,,,,,,5,,,,59e6e5bf,Dominic Calvert-Lewin__Leeds United
Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,20,14,1336,14.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,3684108d,14.8,0,7,1,14.3,0.47,0.07,0.0,0.0,0,0,3684108d,14.8,,,,,,,,,,,,,,,0,,,,,,3684108d,14.8,,,,,,,,,,,,,,,,,,,,,3684108d,14.8,,22,,,,,,,,,,,12,,,,3684108d,Jaydee Canvot__Crystal Palace
Rio Cardines,tt TRI,MF,Crystal Palace,19,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,702812fe,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,702812fe,1.0,,,,,,,,,,,,,,,0,,,,,,702812fe,1.0,,,,,,,,,,,,,,,,,,,,,702812fe,1.0,,1,,,,,,,,,,,0,,,,702812fe,Rio Cardines__Crystal Palace
Fabio Carvalho,pt POR,MF,Brentford,22,2002,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,0.0,0.88,0.88,0.88,966e28d0,1.1,1,2,1,50.0,1.76,0.88,0.5,1.0,0,0,966e28d0,1.1,,,,,,,,,,,,,,,0,,,,,,966e28d0,1.1,,,,,,,,,,,,,,,,,,,,,966e28d0,1.1,,2,,,,,,,,,,,0,,,,966e28d0,Fabio Carvalho__Brentford
Casemiro,br BRA,MF,Manchester Utd,33,1992,34,33,2571,28.6,9,2,11,9,0,0,11,1,0.32,0.07,0.39,0.32,0.39,4d224fe8,28.6,9,52,18,34.6,1.82,0.63,0.17,0.5,0,0,4d224fe8,28.6,,,,,,,,,,,,,,,2,,,,,,4d224fe8,28.6,,,,,,,,,,,,,,,,,,,,,4d224fe8,28.6,,45,,,,,,,,,,,30,,,,4d224fe8,Casemiro__Manchester Utd
Matty Cash,pl POL,DF,Aston Villa,27,1997,35,34,3014,33.5,3,3,6,3,0,0,9,0,0.09,0.09,0.18,0.09,0.18,2389cdc2,33.5,3,30,10,33.3,0.9,0.3,0.1,0.3,0,0,2389cdc2,33.5,,,,,,,,,,,,,,,3,,,,,,2389cdc2,33.5,,,,,,,,,,,,,,,,,,,,,2389cdc2,33.5,,32,,,,,,,,,,,24,,,,2389cdc2,Matty Cash__Aston Villa
Timothy Castagne,be BEL,DFMF,Fulham,29,1995,30,20,1845,20.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,197640fd,20.5,0,14,6,42.9,0.68,0.29,0.0,0.0,0,0,197640fd,20.5,,,,,,,,,,,,,,,0,,,,,,197640fd,20.5,,,,,,,,,,,,,,,,,,,,,197640fd,20.5,,24,,,,,,,,,,,28,,,,197640fd,Timothy Castagne__Fulham
Valentín Castellanos,ar ARG,FW,West Ham,26,1998,18,17,1384,15.4,6,0,6,6,0,0,6,0,0.39,0.0,0.39,0.39,0.39,da76bab4,15.4,6,50,22,44.0,3.25,1.43,0.12,0.27,0,0,da76bab4,15.4,,,,,,,,,,,,,,,0,,,,,,da76bab4,15.4,,,,,,,,,,,,,,,,,,,,,da76bab4,15.4,,9,,,,,,,,,,,6,,,,da76bab4,Valentín Castellanos__West Ham
Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,34,31,2783,30.9,3,0,3,3,0,0,3,1,0.1,0.0,0.1,0.1,0.1,5515376c,30.9,3,16,5,31.3,0.52,0.16,0.19,0.6,0,0,5515376c,30.9,,,,,,,,,,,,,,,0,,,,,,5515376c,30.9,,,,,,,,,,,,,,,,,,,,,5515376c,30.9,,22,,,,,,,,,,,37,,,,5515376c,Trevoh Chalobah__Chelsea
Rayan Cherki,fr FRA,MF,Manchester City,21,2003,33,19,1786,19.8,4,12,16,4,0,0,1,0,0.2,0.6,0.81,0.2,0.81,b34c63a5,19.8,4,55,13,23.6,2.77,0.66,0.07,0.31,0,0,b34c63a5,19.8,,,,,,,,,,,,,,,12,,,,,,b34c63a5,19.8,,,,,,,,,,,,,,,,,,,,,b34c63a5,19.8,,16,,,,,,,,,,,7,,,,b34c63a5,Rayan Cherki__Manchester City
Federico Chiesa,it ITA,MF,Liverpool,27,1997,26,1,339,3.8,2,1,3,2,0,0,3,0,0.53,0.27,0.8,0.53,0.8,b0f7e36c,3.8,2,17,5,29.4,4.51,1.33,0.12,0.4,0,0,b0f7e36c,3.8,,,,,,,,,,,,,,,1,,,,,,b0f7e36c,3.8,,,,,,,,,,,,,,,,,,,,,b0f7e36c,3.8,,5,,,,,,,,,,,4,,,,b0f7e36c,Federico Chiesa__Liverpool
Tawanda Chirewa,zw ZIM,MF,Wolves,21,2003,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,34721c11,0.3,0,0,0,,0.0,0.0,,,0,0,34721c11,0.3,,,,,,,,,,,,,,,0,,,,,,34721c11,0.3,,,,,,,,,,,,,,,,,,,,,34721c11,0.3,,0,,,,,,,,,,,0,,,,34721c11,Tawanda Chirewa__Wolves
Ryan Christie,sct SCO,MF,Bournemouth,30,1995,26,9,994,11.0,2,0,2,2,0,0,3,1,0.18,0.0,0.18,0.18,0.18,26ce2263,11.0,2,25,8,32.0,2.26,0.72,0.08,0.25,0,0,26ce2263,11.0,,,,,,,,,,,,,,,0,,,,,,26ce2263,11.0,,,,,,,,,,,,,,,,,,,,,26ce2263,11.0,,20,,,,,,,,,,,11,,,,26ce2263,Ryan Christie__Bournemouth
Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,23,10,1079,12.0,3,4,7,3,0,0,0,0,0.25,0.33,0.58,0.25,0.58,b8a642fc,12.0,3,25,7,28.0,2.09,0.58,0.12,0.43,0,0,b8a642fc,12.0,,,,,,,,,,,,,,,4,,,,,,b8a642fc,12.0,,,,,,,,,,,,,,,,,,,,,b8a642fc,12.0,,4,,,,,,,,,,,6,,,,b8a642fc,Samuel Chukwueze__Fulham
Dennis Cirkin,lv LVA,DF,Sunderland,23,2002,8,3,323,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,307ea3b6,3.6,0,1,0,0.0,0.28,0.0,0.0,,0,0,307ea3b6,3.6,,,,,,,,,,,,,,,0,,,,,,307ea3b6,3.6,,,,,,,,,,,,,,,,,,,,,307ea3b6,3.6,,5,,,,,,,,,,,5,,,,307ea3b6,Dennis Cirkin__Sunderland
Nathaniel Clyne,eng ENG,MFDF,Crystal Palace,34,1991,10,7,594,6.6,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,0442183b,6.6,0,3,0,0.0,0.45,0.0,0.0,,0,0,0442183b,6.6,,,,,,,,,,,,,,,1,,,,,,0442183b,6.6,,,,,,,,,,,,,,,,,,,,,0442183b,6.6,,9,,,,,,,,,,,7,,,,0442183b,Nathaniel Clyne__Crystal Palace
Séamus Coleman,ie IRL,DF,Everton,36,1988,5,1,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0420d84f,0.2,0,0,0,,0.0,0.0,,,0,0,0420d84f,0.2,,,,,,,,,,,,,,,0,,,,,,0420d84f,0.2,,,,,,,,,,,,,,,,,,,,,0420d84f,0.2,,0,,,,,,,,,,,0,,,,0420d84f,Séamus Coleman__Everton
Nathan Collins,ie IRL,DF,Brentford,24,2001,35,32,2975,33.1,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,a8c19eb8,33.1,1,20,6,30.0,0.61,0.18,0.05,0.17,0,0,a8c19eb8,33.1,,,,,,,,,,,,,,,2,,,,,,a8c19eb8,33.1,,,,,,,,,,,,,,,,,,,,,a8c19eb8,33.1,,13,,,,,,,,,,,36,,,,a8c19eb8,Nathan Collins__Brentford
Levi Colwill,eng ENG,DF,Chelsea,22,2003,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,700783e7,2.5,0,0,0,,0.0,0.0,,,0,0,700783e7,2.5,,,,,,,,,,,,,,,0,,,,,,700783e7,2.5,,,,,,,,,,,,,,,,,,,,,700783e7,2.5,,2,,,,,,,,,,,5,,,,700783e7,Levi Colwill__Chelsea
Lewis Cook,eng ENG,MFDF,Bournemouth,28,1997,18,8,874,9.7,0,1,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1,2afc7272,9.7,0,3,0,0.0,0.31,0.0,0.0,,0,0,2afc7272,9.7,,,,,,,,,,,,,,,1,,,,,,2afc7272,9.7,,,,,,,,,,,,,,,,,,,,,2afc7272,9.7,,17,,,,,,,,,,,21,,,,2afc7272,Lewis Cook__Bournemouth
Diego Coppola,it ITA,DF,Brighton,21,2003,5,2,194,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,22ae86f9,2.2,0,0,0,,0.0,0.0,,,0,0,22ae86f9,2.2,,,,,,,,,,,,,,,0,,,,,,22ae86f9,2.2,,,,,,,,,,,,,,,,,,,,,22ae86f9,2.2,,2,,,,,,,,,,,1,,,,22ae86f9,Diego Coppola__Brighton
Marc Cucurella,es ESP,DF,Chelsea,27,1998,34,31,2707,30.1,1,4,5,1,0,0,8,1,0.03,0.13,0.17,0.03,0.17,1daec722,30.1,1,20,6,30.0,0.66,0.2,0.05,0.17,0,0,1daec722,30.1,,,,,,,,,,,,,,,4,,,,,,1daec722,30.1,,,,,,,,,,,,,,,,,,,,,1daec722,30.1,,40,,,,,,,,,,,28,,,,1daec722,Marc Cucurella__Chelsea
Jorge Cuenca,es ESP,DF,Fulham,25,1999,15,11,938,10.4,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0abc51f2,10.4,0,1,0,0.0,0.1,0.0,0.0,,0,0,0abc51f2,10.4,,,,,,,,,,,,,,,0,,,,,,0abc51f2,10.4,,,,,,,,,,,,,,,,,,,,,0abc51f2,10.4,,10,,,,,,,,,,,15,,,,0abc51f2,Jorge Cuenca__Fulham
Josh Cullen,ie IRL,MF,Burnley,29,1996,18,18,1514,16.8,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,f6d7d690,16.8,2,11,6,54.5,0.65,0.36,0.18,0.33,0,0,f6d7d690,16.8,,,,,,,,,,,,,,,2,,,,,,f6d7d690,16.8,,,,,,,,,,,,,,,,,,,,,f6d7d690,16.8,,19,,,,,,,,,,,24,,,,f6d7d690,Josh Cullen__Burnley
Jair Cunha,br BRA,DF,Nottingham,20,2005,9,6,517,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ac31d35e,5.7,0,3,1,33.3,0.52,0.17,0.0,0.0,0,0,ac31d35e,5.7,,,,,,,,,,,,,,,0,,,,,,ac31d35e,5.7,,,,,,,,,,,,,,,,,,,,,ac31d35e,5.7,,5,,,,,,,,,,,5,,,,ac31d35e,Jair Cunha__Nottingham
Matheus Cunha,br BRA,MFFW,Manchester Utd,26,1999,33,29,2494,27.7,10,2,12,10,0,0,4,0,0.36,0.07,0.43,0.36,0.43,dc62b55d,27.7,10,90,35,38.9,3.25,1.26,0.11,0.29,0,0,dc62b55d,27.7,,,,,,,,,,,,,,,2,,,,,,dc62b55d,27.7,,,,,,,,,,,,,,,,,,,,,dc62b55d,27.7,,23,,,,,,,,,,,21,,,,dc62b55d,Matheus Cunha__Manchester Utd
Diogo Dalot,pt POR,DFMF,Manchester Utd,26,1999,34,29,2614,29.0,1,3,4,1,0,0,5,0,0.03,0.1,0.14,0.03,0.14,d9565625,29.0,1,24,6,25.0,0.83,0.21,0.04,0.17,0,0,d9565625,29.0,,,,,,,,,,,,,,,3,,,,,,d9565625,29.0,,,,,,,,,,,,,,,,,,,,,d9565625,29.0,,30,,,,,,,,,,,26,,,,d9565625,Diogo Dalot__Manchester Utd
