stint_id,Gls/90,Ast/90,Sh/90,SoT%,G/Sh,G/SoT,TklW/90,Int/90,TklWInt/90
Brenden Aaronson__Leeds United,0.10040483018444789,1.0235841041248293,0.5457100289868254,0.4307771839478685,0.001037884908691378,-0.1202545011835142,0.001140371607488065,-0.3382158440830093,-0.18461078595625566
Joshua Acheampong__Chelsea,0.021557513702917332,-0.9685113124616352,-0.8575508414376739,1.4106920560593132,1.9716353648778893,1.0086254815290672,0.17955487237470755,1.8646914830940864,1.1293679867871311
Tyler Adams__Bournemouth,-0.2007092024700599,0.13169163842469633,-0.8964629199463973,2.1207752967197804,1.3558236523875151,0.2705116466785333,0.45634004438568054,1.64635290949794,1.1758865636693652
Tosin Adarabioyo__Chelsea,-0.8720454064210936,-0.9685113124616352,-1.2277683156584545,-2.1397241472430233,-1.1074231975739823,-1.1622975621489737,-0.6259528838981336,0.5409105006610089,-0.07937871974087644
Simon Adingra__Sunderland,0.03379864959502715,-0.9685113124616352,-0.5250213668756831,0.22485304415633262,0.9863366248932905,1.0086254815290672,0.20943250464109764,-1.1141179604813503,-0.48467187255142635
Amine Adli__Bournemouth,0.7540189236406316,-0.08023270047553958,0.441006882347977,1.0556504357290795,0.7400119398971405,0.2705116466785333,0.8097402595016572,-0.6326305215968139,0.13944558945100377
Emmanuel Agbadou__Wolves,-0.8720454064210936,-0.9685113124616352,-0.5276752906372867,-0.009474425261621369,-1.1074231975739823,-1.1622975621489737,1.4712114459895191,0.8167955830865326,1.3305717260830925
Ola Aina__Nottingham,-0.8720454064210936,-0.9685113124616352,-0.6905900197302629,-1.5503550574948353,-1.1074231975739823,-1.1622975621489737,0.40571666548208246,1.5456263232256007,1.0903161701146877
Rayan Aït-Nouri__Manchester City,-0.8720454064210936,1.038340366469914,-0.4021053793243823,-0.7195576659220886,-1.1074231975739823,-1.1622975621489737,1.9213793367937582,0.9409362448302447,1.6687927278428205
Kristoffer Ajer__Brentford,-0.8720454064210936,-0.4293571300621146,-0.9084011198205496,-0.009474425261621369,-1.1074231975739823,-1.1622975621489737,0.3070550667851352,-0.07016666007790369,0.14586542352074522
Nathan Aké__Manchester City,-0.8720454064210936,-0.9685113124616352,-0.4220008717661671,-1.1243051130985549,-1.1074231975739823,-1.1622975621489737,-0.42944439830190184,-0.2843917821599062,-0.4135772596996088
Carlos Alcaraz__Everton,-0.8720454064210936,0.43889116367217845,1.5732327988242591,-0.364516045591855,-1.1074231975739823,-1.1622975621489737,0.35658954408302457,-1.1455767729295567,-0.4135772596996088
Omar Alderete__Sunderland,-0.6594196312147372,-0.620054750846511,-0.5843634435258135,0.5230880052337291,-0.6147738275816829,-0.6846944925398049,-0.8338348509758191,0.8389331200551685,-0.04088299232743421
Ethan Ampadu__Leeds United,-0.6814787894494024,-0.6562058638671002,-0.6108647106804016,-0.4994318613173437,-0.6147738275816829,-0.42418372729843984,0.6729663182033745,1.4652780117669053,1.2067106268607828
Joachim Andersen__Fulham,-0.8720454064210936,-0.6287934733948526,-0.903608999150063,-0.364516045591855,-1.1074231975739823,-1.1622975621489737,-0.3571654150940925,0.6361852769386858,0.1341558443301193
Elliot Anderson__Nottingham,-0.1571630703218847,0.20305615415786388,-0.09098289481582182,-0.5278351909437625,0.001037884908691378,0.574440872793459,1.2700884500979395,0.7296341484130067,1.1620971283792743
André__Wolves,-0.6566492628081397,-0.9685113124616352,-0.9189345396606505,-1.6639683760005102,-0.24528680008745823,3.1795485252071076,0.7585678142929055,0.08027938656991335,0.4993053587429458
Jaidon Anthony__Burnley,0.879653033027299,-0.2508292550953858,0.6559131922486812,0.8284237987177298,0.7400119398971405,0.3573485684256547,-0.5986238892125649,-0.5486405983121829,-0.6598973366773735
Jhon Arias__Wolves,-0.34303247770767903,-0.9685113124616352,0.0163366177112374,-0.8047676548013447,-0.3684491425855332,0.2705116466785333,2.356259893510278,-0.4818902067097459,1.1503146374061028
Adam Armstrong__Wolves,0.16931862647932872,0.7381027137163751,0.17862367958661438,0.22485304415633262,0.24736256990484115,0.2705116466785333,-1.3660832692802658,-1.5456548395075833,-1.666783086242406
Tolu Arokodare__Wolves,0.3835232534999851,-0.2826252956116122,1.944303520423842,0.3313655302554027,-0.24528680008745823,-0.33734680555131824,-1.490756050467204,-1.0202144008554936,-1.453748441402887
Yasin Ayari__Brighton,0.054963230343067514,0.5506941641127153,0.7678239519252483,-0.40712104003148314,-0.24528680008745823,0.1402562640578507,0.3553651921478457,0.9658020050633251,0.7424300044127309
Carlos Baleba__Brighton,-0.8720454064210936,-0.9685113124616352,-0.21180066901165706,-1.429640906582556,-1.1074231975739823,-1.1622975621489737,0.30105453728409,1.6439137406503985,1.081341529016052
Daniel Ballard__Sunderland,-0.3186846023275637,-0.9685113124616352,-0.21072572608729648,0.31716386544219366,-0.12212445758938342,-0.2070914229306358,-0.5664796044359545,0.12998593306398443,-0.2688099866680139
Ross Barkley__Aston Villa,1.2161635227108059,0.17222543135208745,0.74282785414128,1.0130454412894514,0.9863366248932905,0.4876039510463373,0.33452543341958824,-1.2543580349215127,-0.4864180560249796
Harvey Barnes__Newcastle,1.2512863028644003,-0.47140126355198547,1.6478604519938376,0.4307771839478685,0.37052491240291596,0.2705116466785333,-1.5387858796800171,-1.415520080433805,-1.6991504884237567
Thierno Barry__Everton,1.611583366881322,-0.9685113124616352,0.6120042987998358,0.4733821783874962,1.4789859948855897,1.3125547076439925,-1.622641462642088,-1.2008327739022573,-1.631865226409156
Calvin Bassey__Fulham,-0.637553860005573,-0.9685113124616352,-0.9934671440302008,-1.5503550574948353,-0.12212445758938342,3.1795485252071076,0.28783480207772394,0.004705779753309889,0.17534832761190006
Jean-Ricner Bellegarde__Wolves,-0.3963143554198215,-0.1888710918695226,0.2890840667287053,0.22485304415633262,-0.491611485083608,-0.5544391099191223,0.1756320897210271,-0.2885221658086815,-0.05264849373486682
Rodrigo Bentancur__Tottenham,-0.5556501141283815,-0.4499946107281249,-0.7612713744576565,-0.4994318613173437,-0.12212445758938342,0.2705116466785333,1.4735851464194996,2.0876440696091314,2.0282448898440726
Sander Berge__Fulham,-0.8720454064210936,-0.6330005054575991,-0.9841255281863799,-0.6201460122296233,-1.1074231975739823,-1.1622975621489737,0.5593846788572575,0.0595489726676015,0.368390112616872
Lucas Bergvall__Tottenham,-0.2540396485783195,2.069899640687066,-0.17098297647261937,0.8213229663111256,-0.12212445758938342,-0.29392834467775736,0.6381904891741981,-1.0999688450694818,-0.2195620545339013
Beto__Everton,2.548296805088053,-0.3456952741725337,1.424163616538768,0.6651046533658226,1.4789859948855897,1.1388808641497496,-1.4217746052591176,-1.592667065072421,-1.725967469354997
Jaka Bijol__Leeds United,-0.5571567583773944,0.06358383670316148,-0.6522201414496778,0.7006088153988459,-0.24528680008745823,-0.42418372729843984,-0.7525916857268161,0.5959306528490701,-0.12524910757834926
Yves Bissouma__Tottenham,-0.8720454064210936,-0.9685113124616352,-0.6144229479195492,0.7006088153988459,-1.1074231975739823,-1.1622975621489737,1.3107800015055224,0.9195534039409483,1.2905712214947007
Lamare Bogarde__Aston Villa,-0.8720454064210936,-0.9685113124616352,-1.4963574636225503,-2.1397241472430233,-1.1074231975739823,-1.1622975621489737,1.2747488500027395,-0.9640164045051859,0.2370093399586179
Jayden Bogle__Leeds United,-0.6587337416172974,-0.26935008238225683,-0.8101555114046023,-0.563339352976786,-0.3684491425855332,-0.07683604030995335,0.7969375913760859,0.41937229631851797,0.7081122611334202
Olivier Boscagli__Brighton,-0.8720454064210936,0.2491290320586306,-1.3635718174380536,-2.1397241472430233,-1.1074231975739823,-1.1622975621489737,0.49201112217181336,2.2540074228427716,1.5302080354998933
Sven Botman__Newcastle,-0.5478953275525797,-0.43728586803857805,-0.6273925731504756,-0.2438018946795756,-0.24528680008745823,-0.07683604030995335,-0.6169622995898092,0.9890925587658027,0.1715592843111826
Jarrod Bowen__West Ham,0.7023978337974022,2.1851127544307998,0.9735258123647439,0.37397052469503084,0.24736256990484115,0.2270931858049724,-0.5070773802658451,-0.14086095036496438,-0.38154079835280214
Conor Bradley__Liverpool,-0.8720454064210936,0.08362451921121582,-0.8079347931126348,-2.1397241472430233,-1.1074231975739823,-1.1622975621489737,0.9365757539981158,0.855493852871767,1.0308628033544676
Jarrad Branthwaite__Everton,-0.0019583526161355063,-0.9685113124616352,-0.5633635812209543,0.22485304415633262,0.9863366248932905,1.0086254815290672,-0.40875929455493015,1.4795265980568781,0.5652209409225617
Brian Brobbey__Sunderland,1.2909747460286156,-0.4621094869368518,0.4917042671023461,1.4106920560593132,1.2326613098894401,0.5310224119198982,-1.812962085054187,-1.7197001001093237,-2.0303706360805034
Armando Broja__Burnley,-0.18322648882550172,0.16034275693736127,0.47329628811415253,0.5230880052337291,-0.3684491425855332,-0.42418372729843984,-1.371047558450512,-1.0289579720961666,-1.3866847731088596
David Brooks__Bournemouth,-0.3785631968003711,1.4576825083362082,2.7369282117518554,-0.21539856505315677,-0.8610985125778325,-0.8149498751604872,-0.04424866036700004,-1.0598867240967558,-0.6072304961989624
Jacob Bruun Larsen__Burnley,-0.8720454064210936,-0.017897359283533008,0.265964314247131,-0.47102853169092507,-1.1074231975739823,-1.1622975621489737,-1.4705946202328133,-0.5563449371397958,-1.1875107206566737
Emi Buendía__Aston Villa,1.1626197040151163,0.14297577125429972,1.4732743466881708,-0.2580035594927849,0.37052491240291596,0.8349516380348239,0.7919314198654455,-0.2461168936812551,0.3405117535406081
Hugo Bueno__Wolves,-0.6206134060820183,-0.14440491959240592,-0.7773963983498376,0.5230880052337291,-0.3684491425855332,-0.42418372729843984,0.683356506189813,1.0537739956393228,0.9875002247527471
Santiago Bueno__Wolves,-0.1735248139297891,-0.5869268382985942,-1.0802334315655004,2.8308585373802475,2.5874470773682634,0.7046962554141414,0.12963608184512362,0.3817125710292955,0.2869383211583811
Dan Burn__Newcastle,-0.6010346847441393,-0.08023270047553958,-1.0120163771299184,-0.009474425261621369,0.12420022740676635,0.2705116466785333,0.14826907301379563,0.09208253074485914,0.13944558945100377
Moisés Caicedo__Chelsea,-0.23416808080202464,-0.620054750846511,-0.4703641910137213,-0.30060855393241304,0.24736256990484115,0.7046962554141414,1.0474232340676333,2.4736154551602603,1.9839037736945293
Tom Cairney__Fulham,0.6657828747225533,-0.9685113124616352,0.8397434977395857,-1.3018259232636717,0.37052491240291596,3.1795485252071076,-1.0631461813099046,-0.6916187932990433,-1.0170547873952682
Riccardo Calafiori__Arsenal,-0.5221691308169835,0.17826107549925016,0.5045606333798145,-0.364516045591855,-0.7379361700797578,-0.5978575707926831,0.02664937073626547,-0.19933647442957014,-0.09321264623154256
