stint_id,Gls/90,Ast/90,Sh/90,SoT%,G/Sh,G/SoT,TklW/90,Int/90,TklWInt/90
Brenden Aaronson__Leeds United,0.14705882352941177,0.18382352941176472,1.7279411764705883,36.2,0.09,0.24,0.9926470588235294,0.625,1.6176470588235294
Joshua Acheampong__Chelsea,0.13513513513513511,0.0,0.5405405405405405,50.0,0.25,0.5,1.081081081081081,1.6216216216216215,2.7027027027027026
Tyler Adams__Bournemouth,0.10152284263959391,0.10152284263959391,0.5076142131979695,60.0,0.2,0.33,1.218274111675127,1.5228426395939088,2.7411167512690358
Tosin Adarabioyo__Chelsea,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.6818181818181818,1.0227272727272727,1.7045454545454544
Simon Adingra__Sunderland,0.136986301369863,0.0,0.8219178082191781,33.3,0.17,0.5,1.095890410958904,0.273972602739726,1.36986301369863
Amine Adli__Bournemouth,0.24590163934426232,0.0819672131147541,1.639344262295082,45.0,0.15,0.33,1.3934426229508197,0.49180327868852464,1.8852459016393444
Emmanuel Agbadou__Wolves,0.0,0.0,0.819672131147541,30.0,0.0,0.0,1.7213114754098362,1.1475409836065575,2.8688524590163937
Ola Aina__Nottingham,0.0,0.0,0.6818181818181818,8.3,0.0,0.0,1.1931818181818181,1.477272727272727,2.6704545454545454
Rayan Aït-Nouri__Manchester City,0.0,0.18518518518518517,0.9259259259259258,20.0,0.0,0.0,1.9444444444444444,1.2037037037037037,3.148148148148148
Kristoffer Ajer__Brentford,0.0,0.04975124378109452,0.49751243781094523,30.0,0.0,0.0,1.144278606965174,0.7462686567164178,1.8905472636815919
Nathan Aké__Manchester City,0.0,0.0,0.9090909090909091,14.3,0.0,0.0,0.7792207792207793,0.6493506493506493,1.4285714285714286
Carlos Alcaraz__Everton,0.0,0.12987012987012986,2.5974025974025974,25.0,0.0,0.0,1.1688311688311688,0.2597402597402597,1.4285714285714286
Omar Alderete__Sunderland,0.03215434083601286,0.03215434083601286,0.7717041800643086,37.5,0.04,0.11,0.5787781350482315,1.157556270096463,1.7363344051446945
Ethan Ampadu__Leeds United,0.02881844380403458,0.02881844380403458,0.7492795389048991,23.1,0.04,0.17,1.3256484149855907,1.440922190201729,2.7665706051873196
Joachim Andersen__Fulham,0.0,0.031347962382445145,0.5015673981191223,25.0,0.0,0.0,0.8150470219435737,1.0658307210031348,1.8808777429467085
Elliot Anderson__Nottingham,0.10810810810810811,0.10810810810810811,1.1891891891891893,22.7,0.09,0.4,1.6216216216216217,1.1081081081081081,2.72972972972973
André__Wolves,0.03257328990228013,0.0,0.48859934853420195,6.7,0.07,1.0,1.3680781758957654,0.8143322475570033,2.182410423452769
Jaidon Anthony__Burnley,0.26490066225165565,0.06622516556291391,1.8211920529801324,41.8,0.15,0.35,0.695364238410596,0.5298013245033113,1.2251655629139073
Jhon Arias__Wolves,0.08,0.0,1.28,18.8,0.06,0.33,2.16,0.56,2.72
Adam Armstrong__Wolves,0.15748031496062992,0.15748031496062992,1.4173228346456694,33.3,0.11,0.33,0.31496062992125984,0.07874015748031496,0.3937007874015748
Tolu Arokodare__Wolves,0.18987341772151897,0.06329113924050632,2.911392405063291,34.8,0.07,0.19,0.2531645569620253,0.3164556962025316,0.5696202531645569
Yasin Ayari__Brighton,0.14018691588785048,0.14018691588785048,1.9158878504672898,24.4,0.07,0.3,1.1682242990654206,1.2149532710280375,2.383177570093458
Carlos Baleba__Brighton,0.0,0.0,1.0869565217391306,10.0,0.0,0.0,1.1413043478260871,1.5217391304347827,2.6630434782608696
Daniel Ballard__Sunderland,0.08368200836820085,0.0,1.087866108786611,34.6,0.08,0.22,0.7112970711297072,0.8368200836820084,1.5481171548117156
Ross Barkley__Aston Villa,0.3157894736842105,0.10526315789473684,1.894736842105263,44.4,0.17,0.38,1.1578947368421053,0.21052631578947367,1.368421052631579
Harvey Barnes__Newcastle,0.3211009174311926,0.04587155963302752,2.6605504587155964,36.2,0.12,0.33,0.2293577981651376,0.13761467889908258,0.36697247706422015
Thierno Barry__Everton,0.3755868544600939,0.0,1.784037558685446,36.8,0.21,0.57,0.18779342723004694,0.2347417840375587,0.4225352112676056
Calvin Bassey__Fulham,0.03546099290780142,0.0,0.425531914893617,8.3,0.08,1.0,1.1347517730496455,0.7801418439716312,1.9148936170212767
Jean-Ricner Bellegarde__Wolves,0.07194244604316546,0.07194244604316546,1.5107913669064748,33.3,0.05,0.14,1.079136690647482,0.6474820143884892,1.7266187050359711
Rodrigo Bentancur__Tottenham,0.04784688995215311,0.04784688995215311,0.6220095693779905,23.1,0.08,0.33,1.722488038277512,1.722488038277512,3.444976076555024
Sander Berge__Fulham,0.0,0.030959752321981428,0.43343653250774,21.4,0.0,0.0,1.2693498452012384,0.8049535603715171,2.0743034055727554
Lucas Bergvall__Tottenham,0.09345794392523366,0.28037383177570097,1.1214953271028039,41.7,0.08,0.2,1.3084112149532712,0.28037383177570097,1.5887850467289721
Beto__Everton,0.5172413793103449,0.0574712643678161,2.4712643678160924,39.5,0.21,0.53,0.2873563218390805,0.0574712643678161,0.3448275862068966
Jaka Bijol__Leeds United,0.047619047619047616,0.09523809523809523,0.7142857142857143,40.0,0.07,0.17,0.6190476190476191,1.0476190476190477,1.6666666666666667
Yves Bissouma__Tottenham,0.0,0.0,0.7462686567164178,40.0,0.0,0.0,1.6417910447761193,1.1940298507462686,2.835820895522388
Lamare Bogarde__Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,1.623931623931624,0.3418803418803419,1.965811965811966
Jayden Bogle__Leeds United,0.03225806451612903,0.06451612903225806,0.5806451612903226,22.2,0.06,0.25,1.3870967741935485,0.967741935483871,2.3548387096774195
Olivier Boscagli__Brighton,0.0,0.11235955056179775,0.11235955056179775,0.0,0.0,0.0,1.2359550561797752,1.797752808988764,3.033707865168539
Sven Botman__Newcastle,0.04901960784313726,0.04901960784313726,0.7352941176470589,26.7,0.07,0.25,0.6862745098039216,1.2254901960784315,1.911764705882353
Jarrod Bowen__West Ham,0.2380952380952381,0.29100529100529104,2.08994708994709,35.4,0.11,0.32,0.7407407407407408,0.7142857142857143,1.4550264550264551
Conor Bradley__Liverpool,0.0,0.0970873786407767,0.5825242718446602,0.0,0.0,0.0,1.4563106796116503,1.1650485436893203,2.6213592233009706
Jarrad Branthwaite__Everton,0.13157894736842105,0.0,0.7894736842105263,33.3,0.17,0.5,0.7894736842105263,1.4473684210526316,2.236842105263158
Brian Brobbey__Sunderland,0.3271028037383178,0.04672897196261683,1.6822429906542058,50.0,0.19,0.39,0.09345794392523366,0.0,0.09345794392523366
Armando Broja__Burnley,0.10416666666666667,0.10416666666666667,1.6666666666666667,37.5,0.06,0.17,0.3125,0.3125,0.625
David Brooks__Bournemouth,0.07462686567164178,0.22388059701492538,3.582089552238806,27.1,0.02,0.08,0.9701492537313433,0.29850746268656714,1.2686567164179103
Jacob Bruun Larsen__Burnley,0.0,0.08771929824561403,1.4912280701754386,23.5,0.0,0.0,0.2631578947368421,0.5263157894736842,0.7894736842105263
Emi Buendía__Aston Villa,0.3076923076923077,0.10256410256410256,2.5128205128205128,26.5,0.12,0.46,1.3846153846153846,0.6666666666666666,2.051282051282051
